day,supplier_id,dst_node_id,item_id,edge_id,event_ids,stock_multiplier,capacity_multiplier,lead_time_multiplier,lead_time_extra_days,quality_delay_days,reliability_multiplier,quality_yield_multiplier,availability_multiplier,purchase_cost_multiplier,transport_cost_multiplier,external_capacity_multiplier,external_availability_multiplier,external_lead_time_multiplier,external_lead_time_extra_days,external_quality_yield_multiplier,external_cost_multiplier,stock_writeoff_fraction
1,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
2,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
3,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
4,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
5,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
6,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
7,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
8,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
9,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
10,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
11,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
12,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
13,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
14,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
15,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
16,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
17,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
18,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
19,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
20,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
21,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
22,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
23,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
24,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
25,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
26,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
27,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
28,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
29,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
30,M-1430,DC-1920,item:268967,edge:M-1430_TO_DC-1910_268967,factory_dc_pf_delay_plus_45_90d_lead_time_extra_days_M_1430_268967,1.0,1.0,1.0,45.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
