day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,M-1810 | item:693710
0,3.499835,12068.4,200.0,200.0,1.586,42.4,1.6,1930.9436,0.3248,0.2436,1.5428,0.406,0.09744,0.00812,0.00812,0.30044,0.01624,0.406,200.0,200.0,2.2,81.2,700.0
1,3.062356,10559.85,175.0,175.0,1.38775,37.1,1.4,1689.57565,0.2842,0.21315,1.34995,0.35525,0.08526,0.007105,0.007105,0.262885,0.01421,0.35525,175.0,175.0,1.925,71.05,700.0
2,2.624876,9051.3,150.0,150.0,1.1895,31.8,1.2,1448.2077,0.2436,0.1827,1.1571,0.3045,0.07308,0.00609,0.00609,0.22533,0.01218,0.3045,150.0,150.0,1.65,60.9,700.0
3,2.187397,7542.75,125.0,125.0,0.99125,26.5,1.0,1206.83975,0.203,0.15225,0.96425,0.25375,0.0609,0.005075,0.005075,0.187775,0.01015,0.25375,125.0,125.0,1.375,50.75,700.0
4,1.749918,6034.2,100.0,100.0,0.793,21.2,0.8,965.4718,0.1624,0.1218,0.7714,0.203,0.04872,0.00406,0.00406,0.15022,0.00812,0.203,100.0,100.0,1.1,40.6,700.0
5,1.312438,4525.65,75.0,75.0,0.59475,15.9,0.6,724.10385,0.1218,0.09135,0.57855,0.15225,0.03654,0.003045,0.003045,0.112665,0.00609,0.15225,75.0,75.0,0.825,30.45,700.0
6,0.874959,3017.1,50.0,50.0,0.3965,10.6,0.4,482.7359,0.0812,0.0609,0.3857,0.1015,0.02436,0.00203,0.00203,0.07511,0.00406,0.1015,50.0,50.0,0.55,20.3,700.0
7,0.437479,1508.55,25.0,25.0,0.19825,5.3,0.2,241.36795,0.0406,0.03045,0.19285,0.05075,0.01218,0.001015,0.001015,0.037555,0.00203,0.05075,25.0,25.0,0.275,10.15,700.0
8,0.437479,1282.2675,25.0,25.0,0.19825,5.3,0.2,205.162758,0.0406,0.03045,0.19285,0.05075,0.01218,0.001015,0.001015,0.037555,0.00203,0.05075,25.0,25.0,0.275,10.15,700.0
9,0.503101,1474.607625,28.75,28.75,0.227988,6.095,0.23,235.937171,0.0406,0.03045,0.19285,0.05075,0.01218,0.001015,0.001015,0.037555,0.00203,0.05075,25.0,25.0,0.275,10.15,700.0
