day,node_id,output_item_id,desired_qty,planned_qty_after_lot_rule,actual_qty,cap_qty,capacity_limit_mode,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty,shortfall_vs_lot_plan_qty,lot_policy_mode,lot_fixed_qty,lot_min_qty,lot_max_qty,lot_multiple_qty,max_lots_per_week,started_lots_this_week,requested_lot_starts,actual_lot_starts,campaign_requested_qty,campaign_started_qty,campaign_remaining_start_qty,campaign_remaining_end_qty
0,M-1430,item:268967,2562.857143,107800.0,107800.0,154000.0,finite,142250.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,1,1,107800.0,107800.0,107800.0,0.0
0,M-1810,item:268091,1900.0,14400.0,14400.0,203550.0,finite,354000.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
1,SDC-1450,item:773474,3109461.2576,3200000.0,3200000.0,0.0,unmodeled,127751677.852349,none,,0.0,0.0,fixed,3200000.0,0.0,0.0,0.0,10,1,1,1,3200000.0,3200000.0,3200000.0,0.0
2,SDC-1450,item:773474,3299509.30912,6400000.0,6400000.0,0.0,unmodeled,124551677.852349,none,,0.0,0.0,fixed,3200000.0,0.0,0.0,0.0,10,3,2,2,6400000.0,6400000.0,6400000.0,0.0
5,SDC-1450,item:773474,2022084.4576,3200000.0,3200000.0,0.0,unmodeled,118151677.852349,none,,0.0,0.0,fixed,3200000.0,0.0,0.0,0.0,10,4,1,1,3200000.0,3200000.0,3200000.0,0.0
8,SDC-1450,item:773474,2006551.8576,3200000.0,3200000.0,0.0,unmodeled,114951677.852349,none,,0.0,0.0,fixed,3200000.0,0.0,0.0,0.0,10,1,1,1,3200000.0,3200000.0,3200000.0,0.0
11,SDC-1450,item:773474,1831019.2576,3200000.0,3200000.0,0.0,unmodeled,111751677.852349,none,,0.0,0.0,fixed,3200000.0,0.0,0.0,0.0,10,2,1,1,3200000.0,3200000.0,3200000.0,0.0
15,M-1810,item:268091,6384.783674,14400.0,14400.0,203550.0,finite,389665.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
16,M-1810,item:268091,8153.838368,14400.0,14400.0,203550.0,finite,382800.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
17,M-1810,item:268091,8999.747266,14400.0,14400.0,203550.0,finite,368400.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,3,1,1,14400.0,14400.0,14400.0,0.0
18,M-1810,item:268091,9661.027004,14400.0,14400.0,203550.0,finite,354000.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,4,1,1,14400.0,14400.0,14400.0,0.0
19,M-1810,item:268091,10285.380911,14400.0,14400.0,203550.0,finite,339600.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,5,1,1,14400.0,14400.0,14400.0,0.0
20,M-1810,item:268091,10902.349652,14400.0,14400.0,203550.0,finite,325200.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,6,1,1,14400.0,14400.0,14400.0,0.0
21,M-1810,item:268091,11517.841359,14400.0,14400.0,203550.0,finite,310800.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
22,M-1810,item:268091,11488.221333,14400.0,14400.0,203550.0,finite,296400.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
24,M-1810,item:268091,8879.216327,14400.0,14400.0,203550.0,finite,282000.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,3,1,1,14400.0,14400.0,14400.0,0.0
25,M-1810,item:268091,10502.341224,14400.0,14400.0,203550.0,finite,267600.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,4,1,1,14400.0,14400.0,14400.0,0.0
31,M-1810,item:268091,7962.906122,14400.0,14400.0,203550.0,finite,253200.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
34,M-1810,item:268091,7657.469388,14400.0,14400.0,203550.0,finite,238800.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
50,M-1810,item:268091,11319.477551,14400.0,14400.0,203550.0,finite,344400.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
51,M-1810,item:268091,13509.250612,14400.0,14400.0,203550.0,finite,350000.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
52,M-1810,item:268091,13873.082775,14400.0,14400.0,203550.0,finite,345600.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,3,1,1,14400.0,14400.0,14400.0,0.0
53,M-1810,item:268091,13871.726759,14400.0,14400.0,203550.0,finite,336200.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,4,1,1,14400.0,14400.0,14400.0,0.0
54,M-1810,item:268091,13797.333107,14400.0,14400.0,203550.0,finite,326800.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,5,1,1,14400.0,14400.0,14400.0,0.0
165,M-1430,item:268967,11768.114286,107800.0,107800.0,154000.0,finite,3259825.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,1,1,107800.0,107800.0,107800.0,0.0
166,M-1430,item:268967,16515.337143,107800.0,107800.0,154000.0,finite,3152025.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,2,1,1,107800.0,107800.0,107800.0,0.0
167,M-1430,item:268967,19858.381714,107800.0,107800.0,154000.0,finite,3044225.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,3,1,1,107800.0,107800.0,107800.0,0.0
168,M-1430,item:268967,22920.590628,107800.0,107800.0,154000.0,finite,2936425.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,1,1,107800.0,107800.0,107800.0,0.0
169,M-1430,item:268967,20942.191595,107800.0,107800.0,154000.0,finite,2828625.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,2,1,1,107800.0,107800.0,107800.0,0.0
170,M-1430,item:268967,17955.670972,107800.0,107800.0,154000.0,finite,2720825.0,none,,0.0,0.0,fixed,107800.0,107800.0,107800.0,0.0,10,3,1,1,107800.0,107800.0,107800.0,0.0
170,SDC-1450,item:773474,1908934.4576,3200000.0,3200000.0,0.0,unmodeled,189088590.604027,none,,0.0,0.0,fixed,3200000.0,0.0,0.0,0.0,10,1,1,1,3200000.0,3200000.0,3200000.0,0.0
238,M-1810,item:268091,9021.485714,14400.0,14400.0,203550.0,finite,1309898.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
239,M-1810,item:268091,10625.456327,14400.0,14400.0,203550.0,finite,1295498.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
240,M-1810,item:268091,10745.923918,14400.0,14400.0,203550.0,finite,1281098.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,3,1,1,14400.0,14400.0,14400.0,0.0
241,M-1810,item:268091,10569.690906,14400.0,14400.0,203550.0,finite,1266698.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,4,1,1,14400.0,14400.0,14400.0,0.0
242,M-1810,item:268091,10334.117773,14400.0,14400.0,203550.0,finite,1252298.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,5,1,1,14400.0,14400.0,14400.0,0.0
243,M-1810,item:268091,10086.676616,14400.0,14400.0,203550.0,finite,1237898.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,6,1,1,14400.0,14400.0,14400.0,0.0
244,M-1810,item:268091,9836.861854,14400.0,14400.0,203550.0,finite,1223498.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,7,1,1,14400.0,14400.0,14400.0,0.0
248,M-1810,item:268091,7470.44898,14400.0,14400.0,203550.0,finite,1209098.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
250,M-1810,item:268091,7371.281633,14400.0,14400.0,203550.0,finite,1194698.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
252,M-1810,item:268091,7272.114286,14400.0,14400.0,203550.0,finite,1180298.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
254,M-1810,item:268091,7511.461224,14400.0,14400.0,203550.0,finite,1165898.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
255,M-1810,item:268091,9133.426939,14400.0,14400.0,203550.0,finite,1151498.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,3,1,1,14400.0,14400.0,14400.0,0.0
256,M-1810,item:268091,9577.493551,14400.0,14400.0,203550.0,finite,1137098.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,4,1,1,14400.0,14400.0,14400.0,0.0
257,M-1810,item:268091,9785.980343,14400.0,14400.0,203550.0,finite,1122698.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,5,1,1,14400.0,14400.0,14400.0,0.0
258,M-1810,item:268091,9947.35117,14400.0,14400.0,203550.0,finite,1108298.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,6,1,1,14400.0,14400.0,14400.0,0.0
259,M-1810,item:268091,10099.298805,14400.0,14400.0,203550.0,finite,1093898.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
260,M-1810,item:268091,10479.843434,14400.0,14400.0,203550.0,finite,1079498.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
261,M-1810,item:268091,10906.107462,14400.0,14400.0,203550.0,finite,1065098.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,3,1,1,14400.0,14400.0,14400.0,0.0
262,M-1810,item:268091,11341.51537,14400.0,14400.0,203550.0,finite,1050698.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,4,1,1,14400.0,14400.0,14400.0,0.0
263,M-1810,item:268091,11778.752053,14400.0,14400.0,203550.0,finite,1036298.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,5,1,1,14400.0,14400.0,14400.0,0.0
264,M-1810,item:268091,12216.354492,14400.0,14400.0,203550.0,finite,1021898.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,6,1,1,14400.0,14400.0,14400.0,0.0
265,M-1810,item:268091,12654.030082,14400.0,14400.0,203550.0,finite,1007498.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,7,1,1,14400.0,14400.0,14400.0,0.0
266,M-1810,item:268091,13091.720302,14400.0,14400.0,203550.0,finite,993098.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
267,M-1810,item:268091,12561.250183,14400.0,14400.0,203550.0,finite,978698.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
268,M-1810,item:268091,11837.147996,14400.0,14400.0,203550.0,finite,964298.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,3,1,1,14400.0,14400.0,14400.0,0.0
269,M-1810,item:268091,11074.319395,14400.0,14400.0,203550.0,finite,949898.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,4,1,1,14400.0,14400.0,14400.0,0.0
