day,node_id,item_id,produced_qty,cum_produced_qty,stock_end_of_day
0,M-1430,item:268967,107800.0,107800.0,107800.0
0,M-1810,item:268091,14400.0,14400.0,14400.0
0,SDC-1450,item:773474,0.0,0.0,9600000.0
1,M-1430,item:268967,0.0,107800.0,107800.0
1,M-1810,item:268091,0.0,14400.0,14400.0
1,SDC-1450,item:773474,3200000.0,3200000.0,3200000.0
2,M-1430,item:268967,0.0,107800.0,43500.142854
2,M-1810,item:268091,14400.0,28800.0,14400.0
2,SDC-1450,item:773474,6400000.0,9600000.0,8559221.0
3,M-1430,item:268967,34450.0,142250.0,34450.0
3,M-1810,item:268091,14400.0,43200.0,14400.0
3,SDC-1450,item:773474,0.0,9600000.0,7518442.0
4,M-1430,item:268967,0.0,142250.0,16509.999999
4,M-1810,item:268091,14400.0,57600.0,14400.0
4,SDC-1450,item:773474,3200000.0,12800000.0,3200000.0
5,M-1430,item:268967,0.0,142250.0,16509.999999
5,M-1810,item:268091,14400.0,72000.0,14400.0
5,SDC-1450,item:773474,6400000.0,19200000.0,8226616.0
6,M-1430,item:268967,0.0,142250.0,16509.999999
6,M-1810,item:268091,14400.0,86400.0,14400.0
6,SDC-1450,item:773474,0.0,19200000.0,6853232.0
7,M-1430,item:268967,0.0,142250.0,16509.999999
7,M-1810,item:268091,14400.0,100800.0,14400.0
7,SDC-1450,item:773474,3200000.0,22400000.0,8679848.0
8,M-1430,item:268967,0.0,142250.0,16509.999999
8,M-1810,item:268091,14400.0,115200.0,14400.0
8,SDC-1450,item:773474,0.0,22400000.0,7306464.0
9,M-1430,item:268967,0.0,142250.0,16509.999999
9,M-1810,item:268091,14400.0,129600.0,14400.0
9,SDC-1450,item:773474,3200000.0,25600000.0,9133080.0
10,M-1430,item:268967,0.0,142250.0,16509.999999
10,M-1810,item:268091,14400.0,144000.0,14400.0
10,SDC-1450,item:773474,0.0,25600000.0,7759696.0
11,M-1430,item:268967,0.0,142250.0,16106.081627
11,M-1810,item:268091,14400.0,158400.0,14400.0
11,SDC-1450,item:773474,0.0,25600000.0,7186312.0
12,M-1430,item:268967,0.0,142250.0,14513.530602
12,M-1810,item:268091,14400.0,172800.0,14400.0
12,SDC-1450,item:773474,0.0,25600000.0,7186312.0
13,M-1430,item:268967,0.0,142250.0,12030.469373
13,M-1810,item:268091,14400.0,187200.0,14400.0
13,SDC-1450,item:773474,0.0,25600000.0,7186312.0
14,M-1430,item:268967,0.0,142250.0,10951.489786
14,M-1810,item:268091,14400.0,201600.0,14400.0
14,SDC-1450,item:773474,0.0,25600000.0,7186312.0
15,M-1430,item:268967,0.0,142250.0,10951.489786
15,M-1810,item:268091,14400.0,216000.0,14400.0
15,SDC-1450,item:773474,0.0,25600000.0,7186312.0
16,M-1430,item:268967,0.0,142250.0,10951.489786
16,M-1810,item:268091,14400.0,230400.0,14400.0
16,SDC-1450,item:773474,0.0,25600000.0,7186312.0
17,M-1430,item:268967,0.0,142250.0,9534.183668
17,M-1810,item:268091,14400.0,244800.0,14400.0
17,SDC-1450,item:773474,0.0,25600000.0,7186312.0
18,M-1430,item:268967,0.0,142250.0,3823.244895
18,M-1810,item:268091,0.0,244800.0,1838.346934
18,SDC-1450,item:773474,0.0,25600000.0,7186312.0
19,M-1430,item:268967,0.0,142250.0,0.0
19,M-1810,item:268091,14400.0,259200.0,14400.0
19,SDC-1450,item:773474,0.0,25600000.0,7186312.0
20,M-1430,item:268967,0.0,142250.0,0.0
20,M-1810,item:268091,14400.0,273600.0,14400.0
20,SDC-1450,item:773474,0.0,25600000.0,7186312.0
21,M-1430,item:268967,0.0,142250.0,0.0
21,M-1810,item:268091,14400.0,288000.0,14400.0
21,SDC-1450,item:773474,0.0,25600000.0,7186312.0
22,M-1430,item:268967,0.0,142250.0,0.0
22,M-1810,item:268091,14400.0,302400.0,14400.0
22,SDC-1450,item:773474,0.0,25600000.0,7186312.0
23,M-1430,item:268967,0.0,142250.0,0.0
23,M-1810,item:268091,0.0,302400.0,139660.0
23,SDC-1450,item:773474,0.0,25600000.0,7186312.0
24,M-1430,item:268967,0.0,142250.0,0.0
24,M-1810,item:268091,0.0,302400.0,113880.897952
24,SDC-1450,item:773474,0.0,25600000.0,7186312.0
25,M-1430,item:268967,0.0,142250.0,0.0
25,M-1810,item:268091,0.0,302400.0,79484.448967
25,SDC-1450,item:773474,0.0,25600000.0,7186312.0
26,M-1430,item:268967,0.0,142250.0,0.0
26,M-1810,item:268091,0.0,302400.0,62440.653052
26,SDC-1450,item:773474,0.0,25600000.0,7186312.0
27,M-1430,item:268967,0.0,142250.0,0.0
27,M-1810,item:268091,0.0,302400.0,62440.653052
27,SDC-1450,item:773474,0.0,25600000.0,7186312.0
28,M-1430,item:268967,0.0,142250.0,0.0
28,M-1810,item:268091,0.0,302400.0,62440.653052
28,SDC-1450,item:773474,0.0,25600000.0,7186312.0
29,M-1430,item:268967,0.0,142250.0,0.0
29,M-1810,item:268091,0.0,302400.0,62440.653052
29,SDC-1450,item:773474,0.0,25600000.0,7186312.0
30,M-1430,item:268967,0.0,142250.0,0.0
30,M-1810,item:268091,0.0,302400.0,62440.653052
30,SDC-1450,item:773474,0.0,25600000.0,7186312.0
31,M-1430,item:268967,0.0,142250.0,0.0
31,M-1810,item:268091,0.0,302400.0,62440.653052
31,SDC-1450,item:773474,0.0,25600000.0,7186312.0
32,M-1430,item:268967,0.0,142250.0,0.0
32,M-1810,item:268091,0.0,302400.0,62440.653052
32,SDC-1450,item:773474,0.0,25600000.0,7186312.0
33,M-1430,item:268967,0.0,142250.0,0.0
33,M-1810,item:268091,0.0,302400.0,54542.734692
33,SDC-1450,item:773474,0.0,25600000.0,7186312.0
34,M-1430,item:268967,0.0,142250.0,0.0
34,M-1810,item:268091,0.0,302400.0,38600.163269
34,SDC-1450,item:773474,0.0,25600000.0,7186312.0
35,M-1430,item:268967,0.0,142250.0,0.0
35,M-1810,item:268091,0.0,302400.0,120953.122449
35,SDC-1450,item:773474,0.0,25600000.0,7186312.0
36,M-1430,item:268967,0.0,142250.0,0.0
36,M-1810,item:268091,0.0,302400.0,113143.530601
36,SDC-1450,item:773474,0.0,25600000.0,7186312.0
37,M-1430,item:268967,0.0,142250.0,0.0
37,M-1810,item:268091,0.0,302400.0,113143.530601
37,SDC-1450,item:773474,0.0,25600000.0,7186312.0
38,M-1430,item:268967,0.0,142250.0,0.0
38,M-1810,item:268091,0.0,302400.0,113143.530601
38,SDC-1450,item:773474,0.0,25600000.0,7186312.0
39,M-1430,item:268967,0.0,142250.0,0.0
39,M-1810,item:268091,0.0,302400.0,110670.551016
39,SDC-1450,item:773474,0.0,25600000.0,7186312.0
40,M-1430,item:268967,0.0,142250.0,0.0
40,M-1810,item:268091,0.0,302400.0,97450.387751
40,SDC-1450,item:773474,0.0,25600000.0,7186312.0
41,M-1430,item:268967,0.0,142250.0,0.0
41,M-1810,item:268091,0.0,302400.0,71350.673466
41,SDC-1450,item:773474,0.0,25600000.0,7186312.0
42,M-1430,item:268967,0.0,142250.0,0.0
42,M-1810,item:268091,0.0,302400.0,62732.183671
42,SDC-1450,item:773474,0.0,25600000.0,7186312.0
43,M-1430,item:268967,0.0,142250.0,0.0
43,M-1810,item:268091,0.0,302400.0,193010.081631
43,SDC-1450,item:773474,0.0,25600000.0,7186312.0
44,M-1430,item:268967,0.0,142250.0,0.0
44,M-1810,item:268091,0.0,302400.0,193010.081631
44,SDC-1450,item:773474,0.0,25600000.0,7186312.0
45,M-1430,item:268967,0.0,142250.0,0.0
45,M-1810,item:268091,0.0,302400.0,191951.469386
45,SDC-1450,item:773474,0.0,25600000.0,7186312.0
46,M-1430,item:268967,0.0,142250.0,0.0
46,M-1810,item:268091,0.0,302400.0,175247.510203
46,SDC-1450,item:773474,0.0,25600000.0,7186312.0
47,M-1430,item:268967,0.0,142250.0,0.0
47,M-1810,item:268091,0.0,302400.0,141872.244898
47,SDC-1450,item:773474,0.0,25600000.0,7186312.0
48,M-1430,item:268967,0.0,142250.0,0.0
48,M-1810,item:268091,0.0,302400.0,141872.244898
48,SDC-1450,item:773474,0.0,25600000.0,7186312.0
49,M-1430,item:268967,0.0,142250.0,0.0
49,M-1810,item:268091,0.0,302400.0,123214.32653
49,SDC-1450,item:773474,0.0,25600000.0,7186312.0
50,M-1430,item:268967,0.0,142250.0,0.0
50,M-1810,item:268091,0.0,302400.0,84807.224489
50,SDC-1450,item:773474,0.0,25600000.0,7186312.0
51,M-1430,item:268967,0.0,142250.0,0.0
51,M-1810,item:268091,0.0,302400.0,39742.897956
51,SDC-1450,item:773474,0.0,25600000.0,7186312.0
52,M-1430,item:268967,0.0,142250.0,0.0
52,M-1810,item:268091,0.0,302400.0,39742.897956
52,SDC-1450,item:773474,0.0,25600000.0,7186312.0
53,M-1430,item:268967,0.0,142250.0,0.0
53,M-1810,item:268091,0.0,302400.0,39742.897956
53,SDC-1450,item:773474,0.0,25600000.0,7186312.0
54,M-1430,item:268967,0.0,142250.0,0.0
54,M-1810,item:268091,0.0,302400.0,39742.897956
54,SDC-1450,item:773474,0.0,25600000.0,7186312.0
55,M-1430,item:268967,0.0,142250.0,0.0
55,M-1810,item:268091,0.0,302400.0,154092.102042
55,SDC-1450,item:773474,0.0,25600000.0,7186312.0
56,M-1430,item:268967,0.0,142250.0,0.0
56,M-1810,item:268091,0.0,302400.0,129164.714292
56,SDC-1450,item:773474,0.0,25600000.0,7186312.0
57,M-1430,item:268967,0.0,142250.0,0.0
57,M-1810,item:268091,0.0,302400.0,104294.183682
57,SDC-1450,item:773474,0.0,25600000.0,7186312.0
58,M-1430,item:268967,73350.0,215600.0,73350.0
58,M-1810,item:268091,0.0,302400.0,92054.755109
58,SDC-1450,item:773474,0.0,25600000.0,7186312.0
59,M-1430,item:268967,36650.0,252250.0,36650.0
59,M-1810,item:268091,0.0,302400.0,92054.755109
59,SDC-1450,item:773474,0.0,25600000.0,7186312.0
60,M-1430,item:268967,20000.0,272250.0,20000.0
60,M-1810,item:268091,0.0,302400.0,92054.755109
60,SDC-1450,item:773474,0.0,25600000.0,7186312.0
61,M-1430,item:268967,25000.0,297250.0,25000.0
61,M-1810,item:268091,0.0,302400.0,102993.081636
61,SDC-1450,item:773474,0.0,25600000.0,10386312.0
62,M-1430,item:268967,25000.0,322250.0,25000.0
62,M-1810,item:268091,0.0,302400.0,94868.510202
62,SDC-1450,item:773474,0.0,25600000.0,10386312.0
63,M-1430,item:268967,1150.0,323400.0,1150.0
63,M-1810,item:268091,0.0,302400.0,221466.63265
63,SDC-1450,item:773474,0.0,25600000.0,10386312.0
64,M-1430,item:268967,107800.0,431200.0,107800.0
64,M-1810,item:268091,0.0,302400.0,340944.693872
64,SDC-1450,item:773474,0.0,25600000.0,10386312.0
65,M-1430,item:268967,0.0,431200.0,45365.57142
65,M-1810,item:268091,0.0,302400.0,335163.061222
65,SDC-1450,item:773474,0.0,25600000.0,10386312.0
66,M-1430,item:268967,107800.0,539000.0,107800.0
66,M-1810,item:268091,0.0,302400.0,335163.061222
66,SDC-1450,item:773474,0.0,25600000.0,10386312.0
67,M-1430,item:268967,0.0,539000.0,36239.204074
67,M-1810,item:268091,0.0,302400.0,335163.061222
67,SDC-1450,item:773474,0.0,25600000.0,10386312.0
68,M-1430,item:268967,0.0,539000.0,36239.204074
68,M-1810,item:268091,0.0,302400.0,335163.061222
68,SDC-1450,item:773474,0.0,25600000.0,10386312.0
69,M-1430,item:268967,0.0,539000.0,36239.204074
69,M-1810,item:268091,0.0,302400.0,326041.510205
69,SDC-1450,item:773474,0.0,25600000.0,10386312.0
70,M-1430,item:268967,0.0,539000.0,36239.204074
70,M-1810,item:268091,0.0,302400.0,306596.571432
