day,node_id,output_item_id,desired_qty,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty
0,M-1430,item:268967,20.75,20.75,100.0,1786.25,none,,0.0
0,M-1810,item:268091,20.75,20.75,100.0,700.0,none,,0.0
0,SDC-1450,item:773474,229.299553,229.299553,2000000.0,363564834.230528,none,,0.0
1,M-1430,item:268967,23.15,23.15,100.0,1789.25,none,,0.0
1,M-1810,item:268091,23.15,23.15,100.0,700.0,none,,0.0
1,SDC-1450,item:773474,223.506722,223.506722,2000000.0,366689650.790886,none,,0.0
2,M-1430,item:268967,25.63,25.63,100.0,1813.6,none,,0.0
2,M-1810,item:268091,25.63,25.63,100.0,700.0,none,,0.0
2,SDC-1450,item:773474,222.348156,222.348156,2000000.0,368078230.30619,none,,0.0
3,M-1430,item:268967,29.126,29.126,100.0,1787.97,none,,0.0
3,M-1810,item:268091,29.126,29.126,100.0,700.0,none,,0.0
3,SDC-1450,item:773474,227.136896,227.136896,2000000.0,371828030.88799,none,,0.0
4,M-1430,item:268967,27.8252,27.8252,100.0,1782.594,none,,0.0
4,M-1810,item:268091,27.8252,27.8252,100.0,700.0,none,,0.0
4,SDC-1450,item:773474,238.907928,238.907928,2000000.0,373480306.610347,none,,0.0
5,M-1430,item:268967,25.56504,25.56504,100.0,1778.5188,none,,0.0
5,M-1810,item:268091,25.56504,25.56504,100.0,700.0,none,,0.0
5,SDC-1450,item:773474,247.209441,247.209441,2000000.0,375591333.470259,none,,0.0
6,M-1430,item:268967,23.113008,23.113008,100.0,1752.95376,none,,0.0
6,M-1810,item:268091,23.113008,23.113008,100.0,674.43496,none,,0.0
6,SDC-1450,item:773474,248.792505,248.792505,2000000.0,377466097.725796,none,,0.0
7,M-1430,item:268967,20.622602,20.622602,100.0,1752.990752,none,,0.0
7,M-1810,item:268091,20.622602,20.622602,100.0,700.0,none,,0.0
7,SDC-1450,item:773474,243.980532,243.980532,2000000.0,378716020.907955,none,,0.0
8,M-1430,item:268967,23.12452,23.12452,100.0,1732.36815,none,,0.0
8,M-1810,item:268091,23.12452,23.12452,100.0,679.377398,none,,0.0
8,SDC-1450,item:773474,234.043112,234.043112,2000000.0,379340788.392401,none,,0.0
9,M-1430,item:268967,25.624904,25.624904,100.0,1732.99363,none,,0.0
9,M-1810,item:268091,25.624904,25.624904,100.0,700.0,none,,0.0
9,SDC-1450,item:773474,229.89915,229.89915,2000000.0,380590737.788931,none,,0.0
10,M-1430,item:268967,29.124981,29.124981,100.0,1730.481734,none,,0.0
10,M-1810,item:268091,29.124981,29.124981,100.0,674.375096,none,,0.0
10,SDC-1450,item:773474,232.570772,232.570772,2000000.0,382465679.864446,none,,0.0
11,M-1430,item:268967,27.824996,27.824996,100.0,1750.671793,none,,0.0
11,M-1810,item:268091,27.824996,27.824996,100.0,700.0,none,,0.0
11,SDC-1450,item:773474,242.829637,242.829637,2000000.0,382465470.223629,none,,0.0
12,M-1430,item:268967,25.564999,25.564999,100.0,1797.851701,none,,0.0
12,M-1810,item:268091,25.564999,25.564999,100.0,700.0,none,,0.0
12,SDC-1450,item:773474,250.043981,250.043981,2000000.0,384965284.71888,none,,0.0
13,M-1430,item:268967,23.113,23.113,100.0,1822.162702,none,,0.0
13,M-1810,item:268091,23.113,23.113,100.0,700.0,none,,0.0
13,SDC-1450,item:773474,250.842625,250.842625,2000000.0,386840091.999787,none,,0.0
14,M-1430,item:268967,20.6226,20.6226,100.0,1845.924222,none,,0.0
14,M-1810,item:268091,20.6226,20.6226,100.0,700.0,none,,0.0
14,SDC-1450,item:773474,245.463728,245.463728,2000000.0,388714864.087117,none,,0.0
15,M-1430,item:268967,23.12452,23.12452,100.0,1825.301622,none,,0.0
15,M-1810,item:268091,23.12452,23.12452,100.0,700.0,none,,0.0
15,SDC-1450,item:773474,235.116281,235.116281,2000000.0,389339974.037695,none,,0.0
16,M-1430,item:268967,25.624904,25.624904,100.0,1878.4499,none,,0.0
