day,node_id,output_item_id,desired_qty,planned_qty_after_lot_rule,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty,shortfall_vs_lot_plan_qty,lot_policy_mode,lot_fixed_qty,lot_min_qty,lot_max_qty,lot_multiple_qty,max_lots_per_week,started_lots_this_week,requested_lot_starts,actual_lot_starts,campaign_requested_qty,campaign_started_qty,campaign_remaining_start_qty,campaign_remaining_end_qty
0,M-1430,item:268967,2562.857143,107800.0,30800.0,154000.0,30800.0,input_shortage,item:344135,0.0,77000.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,1,1,107800.0,107800.0,107800.0,77000.0
0,M-1810,item:268091,1900.0,14400.0,14400.0,203550.0,354000.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
0,SDC-1450,item:773474,1486826.572,3200000.0,500000.0,500000.0,127751677.852349,capacity,,986826.572,2700000.0,fixed,3200000.0,0.0,0.0,0.0,0,1,1,1,3200000.0,3200000.0,3200000.0,2700000.0
1,M-1430,item:268967,0.0,77000.0,0.0,154000.0,0.0,lot_campaign_blocked,,0.0,77000.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,0,0,0.0,0.0,77000.0,77000.0
1,SDC-1450,item:773474,3406826.572,2700000.0,500000.0,500000.0,127251677.852349,capacity,,2906826.572,2200000.0,fixed,3200000.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,2700000.0,2200000.0
2,M-1430,item:268967,2050.285714,77000.0,0.0,154000.0,0.0,lot_campaign_blocked,,2050.285714,77000.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,0,0,0.0,0.0,77000.0,77000.0
2,M-1810,item:268091,1520.0,14400.0,14400.0,203550.0,339600.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
2,SDC-1450,item:773474,3790826.572,2200000.0,500000.0,500000.0,126751677.852349,capacity,,3290826.572,1700000.0,fixed,3200000.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,2200000.0,1700000.0
3,M-1430,item:268967,2460.342857,77000.0,0.0,154000.0,0.0,lot_campaign_blocked,,2460.342857,77000.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,0,0,0.0,0.0,77000.0,77000.0
3,M-1810,item:268091,1824.0,14400.0,14400.0,203550.0,325200.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,3,1,1,14400.0,14400.0,14400.0,0.0
3,SDC-1450,item:773474,3867626.572,1700000.0,500000.0,500000.0,126251677.852349,capacity,,3367626.572,1200000.0,fixed,3200000.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,1700000.0,1200000.0
4,M-1430,item:268967,2542.354286,77000.0,0.0,154000.0,0.0,lot_campaign_blocked,,2542.354286,77000.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,0,0,0.0,0.0,77000.0,77000.0
4,SDC-1450,item:773474,3882986.572,1200000.0,500000.0,500000.0,125751677.852349,capacity,,3382986.572,700000.0,fixed,3200000.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,1200000.0,700000.0
5,M-1430,item:268967,2558.756572,77000.0,0.0,154000.0,0.0,lot_campaign_blocked,,2558.756572,77000.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,0,0,0.0,0.0,77000.0,77000.0
5,SDC-1450,item:773474,3886058.572,700000.0,500000.0,500000.0,125251677.852349,capacity,,3386058.572,200000.0,fixed,3200000.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,700000.0,200000.0
6,M-1430,item:268967,2562.037029,77000.0,0.0,154000.0,0.0,lot_campaign_blocked,,2562.037029,77000.0,fixed,107800.0,107800.0,107800.0,0.0,10,1,0,0,0.0,0.0,77000.0,77000.0
6,M-1810,item:268091,100.0,14400.0,14400.0,203550.0,310800.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,4,1,1,14400.0,14400.0,14400.0,0.0
6,SDC-1450,item:773474,3886672.972,200000.0,200000.0,500000.0,124751677.852349,none,,3686672.972,0.0,fixed,3200000.0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,200000.0,0.0
7,M-1430,item:268967,5517.778835,77000.0,0.0,154000.0,0.0,lot_campaign_blocked,,5517.778835,77000.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,77000.0,77000.0
7,M-1810,item:268091,182.171429,14400.0,14400.0,203550.0,296400.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,1,1,1,14400.0,14400.0,14400.0,0.0
7,SDC-1450,item:773474,3886795.852,6400000.0,500000.0,500000.0,124551677.852349,capacity,,3386795.852,5900000.0,fixed,3200000.0,0.0,0.0,0.0,0,2,2,2,6400000.0,6400000.0,6400000.0,5900000.0
8,M-1430,item:268967,6108.927196,77000.0,0.0,154000.0,0.0,lot_campaign_blocked,,6108.927196,77000.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,77000.0,77000.0
8,SDC-1450,item:773474,3886820.428,5900000.0,500000.0,500000.0,124051677.852349,capacity,,3386820.428,5400000.0,fixed,3200000.0,0.0,0.0,0.0,0,2,0,0,0.0,0.0,5900000.0,5400000.0
9,M-1430,item:268967,6227.156868,77000.0,0.0,154000.0,0.0,lot_campaign_blocked,,6227.156868,77000.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,77000.0,77000.0
9,M-1810,item:268091,4082.171429,14400.0,14400.0,203550.0,282000.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,2,1,1,14400.0,14400.0,14400.0,0.0
9,SDC-1450,item:773474,3886825.3432,5400000.0,500000.0,500000.0,123551677.852349,capacity,,3386825.3432,4900000.0,fixed,3200000.0,0.0,0.0,0.0,0,2,0,0,0.0,0.0,5400000.0,4900000.0
10,M-1430,item:268967,6250.802802,77000.0,0.0,154000.0,0.0,lot_campaign_blocked,,6250.802802,77000.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,77000.0,77000.0
10,M-1810,item:268091,4898.605715,14400.0,14400.0,203550.0,267600.0,none,,0.0,0.0,min_max,0.0,14400.0,142485.0,14400.0,10,3,1,1,14400.0,14400.0,14400.0,0.0
10,SDC-1450,item:773474,3886826.32624,4900000.0,500000.0,500000.0,123051677.852349,capacity,,3386826.32624,4400000.0,fixed,3200000.0,0.0,0.0,0.0,0,2,0,0,0.0,0.0,4900000.0,4400000.0
11,M-1430,item:268967,6255.531989,77000.0,0.0,154000.0,0.0,lot_campaign_blocked,,6255.531989,77000.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,77000.0,77000.0
