day,node_id,item_id,stock_end_of_day
0,DC-1920,item:268091,402038.0
0,DC-1920,item:268967,1063091.142855
1,DC-1920,item:268091,400138.0
1,DC-1920,item:268967,1060528.285712
2,DC-1920,item:268091,398238.0
2,DC-1920,item:268967,1057965.428569
3,DC-1920,item:268091,410738.0
3,DC-1920,item:268967,1055402.571426
4,DC-1920,item:268091,423238.0
4,DC-1920,item:268967,1083639.714283
5,DC-1920,item:268091,424838.0
5,DC-1920,item:268967,1081076.85714
6,DC-1920,item:268091,422938.0
6,DC-1920,item:268967,1078513.999997
7,DC-1920,item:268091,376797.28571
7,DC-1920,item:268967,1020543.285709
8,DC-1920,item:268091,371694.571424
8,DC-1920,item:268967,1014286.571423
9,DC-1920,item:268091,366591.857138
9,DC-1920,item:268967,1008029.857137
10,DC-1920,item:268091,363389.142852
10,DC-1920,item:268967,1001773.142851
11,DC-1920,item:268091,392286.428566
11,DC-1920,item:268967,995516.428565
12,DC-1920,item:268091,387183.71428
12,DC-1920,item:268967,989259.714279
13,DC-1920,item:268091,410127.142856
13,DC-1920,item:268967,983002.999993
14,DC-1920,item:268091,376180.000001
14,DC-1920,item:268967,983002.999993
15,DC-1920,item:268091,373916.857144
15,DC-1920,item:268967,983002.999993
16,DC-1920,item:268091,371653.714287
16,DC-1920,item:268967,983002.999993
17,DC-1920,item:268091,402230.857138
17,DC-1920,item:268967,983002.999993
18,DC-1920,item:268091,399967.714281
18,DC-1920,item:268967,983002.999993
19,DC-1920,item:268091,392601.857138
19,DC-1920,item:268967,983002.999993
20,DC-1920,item:268091,401074.571428
20,DC-1920,item:268967,983002.999993
21,DC-1920,item:268091,329120.85714
21,DC-1920,item:268967,1059779.428561
22,DC-1920,item:268091,332180.85714
22,DC-1920,item:268967,1055870.857132
23,DC-1920,item:268091,335240.85714
23,DC-1920,item:268967,1086412.285703
24,DC-1920,item:268091,379067.142849
24,DC-1920,item:268967,1082503.714274
25,DC-1920,item:268091,381795.428563
25,DC-1920,item:268967,1078595.142845
26,DC-1920,item:268091,370123.714277
26,DC-1920,item:268967,1074686.571416
27,DC-1920,item:268091,372851.999991
27,DC-1920,item:268967,1070777.999987
28,DC-1920,item:268091,372851.999991
28,DC-1920,item:268967,1051663.714283
29,DC-1920,item:268091,385289.142859
29,DC-1920,item:268967,1046741.428569
30,DC-1920,item:268091,389353.714288
30,DC-1920,item:268967,1041819.142855
31,DC-1920,item:268091,393504.285726
31,DC-1920,item:268967,1036896.857141
32,DC-1920,item:268091,399531.714287
32,DC-1920,item:268967,1031974.571427
33,DC-1920,item:268091,399531.714287
33,DC-1920,item:268967,1027052.285713
34,DC-1920,item:268091,389196.285716
34,DC-1920,item:268967,1022129.999999
35,DC-1920,item:268091,399531.714287
35,DC-1920,item:268967,1022129.999999
36,DC-1920,item:268091,413785.428559
36,DC-1920,item:268967,1022129.999999
37,DC-1920,item:268091,404340.85713
37,DC-1920,item:268967,1022129.999999
38,DC-1920,item:268091,394896.285701
38,DC-1920,item:268967,1022014.571421
39,DC-1920,item:268091,395787.142843
39,DC-1920,item:268967,1018179.714278
40,DC-1920,item:268091,386342.571414
40,DC-1920,item:268967,1014344.857135
41,DC-1920,item:268091,376897.999985
41,DC-1920,item:268967,1010509.999992
42,DC-1920,item:268091,386342.571414
42,DC-1920,item:268967,961415.857139
43,DC-1920,item:268091,414676.285701
43,DC-1920,item:268967,954563.714282
44,DC-1920,item:268091,421093.428571
44,DC-1920,item:268967,947711.571425
45,DC-1920,item:268091,421093.428571
45,DC-1920,item:268967,940859.428568
46,DC-1920,item:268091,419172.000011
46,DC-1920,item:268967,934007.285711
47,DC-1920,item:268091,421556.285726
47,DC-1920,item:268967,927155.142854
48,DC-1920,item:268091,416417.428572
48,DC-1920,item:268967,920302.999997
49,DC-1920,item:268091,308691.714282
49,DC-1920,item:268967,1014479.714286
50,DC-1920,item:268091,294449.714282
50,DC-1920,item:268967,1094681.857143
51,DC-1920,item:268091,280207.714282
51,DC-1920,item:268967,1101534.0
52,DC-1920,item:268091,300957.714283
52,DC-1920,item:268967,1101534.0
53,DC-1920,item:268091,308175.999997
53,DC-1920,item:268967,1101534.0
54,DC-1920,item:268091,308333.999997
54,DC-1920,item:268967,1101534.0
55,DC-1920,item:268091,294091.999997
55,DC-1920,item:268967,1101534.0
56,DC-1920,item:268091,289578.571432
56,DC-1920,item:268967,1067724.285707
57,DC-1920,item:268091,304785.142861
57,DC-1920,item:268967,1061165.571421
58,DC-1920,item:268091,305591.71429
58,DC-1920,item:268967,1054606.857135
59,DC-1920,item:268091,320798.285719
59,DC-1920,item:268967,1081857.857142
60,DC-1920,item:268091,307204.857148
60,DC-1920,item:268967,1075299.142856
61,DC-1920,item:268091,293611.428577
61,DC-1920,item:268967,1068740.42857
62,DC-1920,item:268091,280018.000006
62,DC-1920,item:268967,1075299.142856
63,DC-1920,item:268091,294418.000006
63,DC-1920,item:268967,1075299.142856
64,DC-1920,item:268091,337618.000006
64,DC-1920,item:268967,1094975.285714
65,DC-1920,item:268091,335384.0
65,DC-1920,item:268967,1094975.285714
66,DC-1920,item:268091,352858.0
66,DC-1920,item:268967,1094975.285714
67,DC-1920,item:268091,355932.0
67,DC-1920,item:268967,1101534.0
68,DC-1920,item:268091,373406.0
68,DC-1920,item:268967,1101534.0
69,DC-1920,item:268091,362080.0
69,DC-1920,item:268967,1101534.0
70,DC-1920,item:268091,362080.0
70,DC-1920,item:268967,1072461.142859
71,DC-1920,item:268091,390880.0
71,DC-1920,item:268967,1066280.285716
72,DC-1920,item:268091,401372.571431
72,DC-1920,item:268967,1060099.428573
73,DC-1920,item:268091,391815.428574
73,DC-1920,item:268967,1053918.57143
74,DC-1920,item:268091,393116.285717
74,DC-1920,item:268967,1076810.571428
75,DC-1920,item:268091,383559.14286
75,DC-1920,item:268967,1082991.428571
76,DC-1920,item:268091,397959.14286
76,DC-1920,item:268967,1082991.428571
77,DC-1920,item:268091,367513.42857
77,DC-1920,item:268967,1089172.285714
78,DC-1920,item:268091,369391.142853
78,DC-1920,item:268967,1089172.285714
79,DC-1920,item:268091,357804.28571
79,DC-1920,item:268967,1089172.285714
80,DC-1920,item:268091,386220.285714
80,DC-1920,item:268967,1089172.285714
81,DC-1920,item:268091,374633.428571
81,DC-1920,item:268967,1093033.00001
82,DC-1920,item:268091,384190.571428
82,DC-1920,item:268967,1094537.428582
83,DC-1920,item:268091,384190.571428
83,DC-1920,item:268967,1089861.000011
84,DC-1920,item:268091,361863.714285
84,DC-1920,item:268967,1087792.42857
85,DC-1920,item:268091,361147.714285
85,DC-1920,item:268967,1085609.999988
86,DC-1920,item:268091,360431.714285
86,DC-1920,item:268967,1090460.285701
87,DC-1920,item:268091,371302.571428
87,DC-1920,item:268967,1085957.714272
88,DC-1920,item:268091,381326.571428
88,DC-1920,item:268967,1085957.714272
89,DC-1920,item:268091,381326.571428
89,DC-1920,item:268967,1081455.142843
90,DC-1920,item:268091,381326.571428
90,DC-1920,item:268967,1079021.142855
91,DC-1920,item:268091,381326.571428
91,DC-1920,item:268967,1078520.142864
92,DC-1920,item:268091,393629.428571
92,DC-1920,item:268967,1087191.714294
93,DC-1920,item:268091,430538.0
93,DC-1920,item:268967,1082355.571437
94,DC-1920,item:268091,430538.0
94,DC-1920,item:268967,1077519.42858
95,DC-1920,item:268091,430538.0
95,DC-1920,item:268967,1077519.42858
96,DC-1920,item:268091,424843.714282
96,DC-1920,item:268967,1082189.428572
97,DC-1920,item:268091,415946.999996
97,DC-1920,item:268967,1077353.285715
98,DC-1920,item:268091,415946.999996
98,DC-1920,item:268967,1067584.000005
99,DC-1920,item:268091,415946.999996
99,DC-1920,item:268967,1071768.857148
100,DC-1920,item:268091,421641.285714
100,DC-1920,item:268967,1090559.142858
101,DC-1920,item:268091,430538.0
101,DC-1920,item:268967,1085071.714287
102,DC-1920,item:268091,426823.000004
102,DC-1920,item:268967,1085071.714287
103,DC-1920,item:268091,420072.000004
103,DC-1920,item:268967,1079584.285716
104,DC-1920,item:268091,413321.000004
104,DC-1920,item:268967,1079584.285716
105,DC-1920,item:268091,316082.857145
105,DC-1920,item:268967,1085071.714287
106,DC-1920,item:268091,303051.714288
106,DC-1920,item:268967,1090559.142858
107,DC-1920,item:268091,296771.571431
107,DC-1920,item:268967,1096046.571429
108,DC-1920,item:268091,283740.428574
108,DC-1920,item:268967,1101534.0
109,DC-1920,item:268091,277460.285717
109,DC-1920,item:268967,1101534.0
110,DC-1920,item:268091,333959.142857
110,DC-1920,item:268967,1101534.0
111,DC-1920,item:268091,335328.0
111,DC-1920,item:268967,1101534.0
112,DC-1920,item:268091,349728.0
112,DC-1920,item:268967,1101534.0
113,DC-1920,item:268091,349728.0
113,DC-1920,item:268967,1101534.0
114,DC-1920,item:268091,378528.0
114,DC-1920,item:268967,1101534.0
115,DC-1920,item:268091,378528.0
115,DC-1920,item:268967,1101534.0
116,DC-1920,item:268091,407328.0
116,DC-1920,item:268967,1101534.0
117,DC-1920,item:268091,430538.0
117,DC-1920,item:268967,1101534.0
118,DC-1920,item:268091,427472.000007
118,DC-1920,item:268967,1101534.0
119,DC-1920,item:268091,427472.000007
119,DC-1920,item:268967,1101534.0
120,DC-1920,item:268091,427472.000007
120,DC-1920,item:268967,1101534.0
121,DC-1920,item:268091,427472.000007
121,DC-1920,item:268967,1101534.0
122,DC-1920,item:268091,430538.0
122,DC-1920,item:268967,1101534.0
123,DC-1920,item:268091,430538.0
123,DC-1920,item:268967,1101534.0
124,DC-1920,item:268091,430538.0
124,DC-1920,item:268967,1101534.0
125,DC-1920,item:268091,430538.0
125,DC-1920,item:268967,1101534.0
126,DC-1920,item:268091,430538.0
126,DC-1920,item:268967,1101534.0
127,DC-1920,item:268091,430538.0
127,DC-1920,item:268967,1101534.0
128,DC-1920,item:268091,430538.0
128,DC-1920,item:268967,1101534.0
129,DC-1920,item:268091,430538.0
129,DC-1920,item:268967,1101534.0
130,DC-1920,item:268091,430538.0
130,DC-1920,item:268967,1101534.0
131,DC-1920,item:268091,430538.0
131,DC-1920,item:268967,1101534.0
132,DC-1920,item:268091,430385.999984
132,DC-1920,item:268967,1101534.0
133,DC-1920,item:268091,338399.142845
133,DC-1920,item:268967,1101534.0
134,DC-1920,item:268091,328092.285702
134,DC-1920,item:268967,1101534.0
135,DC-1920,item:268091,317785.428559
135,DC-1920,item:268967,1101534.0
136,DC-1920,item:268091,322030.571432
136,DC-1920,item:268967,1101534.0
137,DC-1920,item:268091,326123.714289
137,DC-1920,item:268967,1101534.0
138,DC-1920,item:268091,361388.857137
138,DC-1920,item:268967,1101534.0
139,DC-1920,item:268091,351081.999994
139,DC-1920,item:268967,1101534.0
140,DC-1920,item:268091,340477.285706
140,DC-1920,item:268967,1101534.0
141,DC-1920,item:268091,373350.57142
141,DC-1920,item:268967,1101534.0
142,DC-1920,item:268091,363023.857134
142,DC-1920,item:268967,1101534.0
143,DC-1920,item:268091,352697.142848
143,DC-1920,item:268967,1101534.0
144,DC-1920,item:268091,399970.428562
144,DC-1920,item:268967,1101534.0
145,DC-1920,item:268091,389643.714276
145,DC-1920,item:268967,1101534.0
146,DC-1920,item:268091,393716.99999
146,DC-1920,item:268967,1100265.000002
147,DC-1920,item:268091,371595.999994
147,DC-1920,item:268967,1100265.000002
148,DC-1920,item:268091,372577.285718
148,DC-1920,item:268967,1100265.000002
149,DC-1920,item:268091,386191.000004
149,DC-1920,item:268967,1100265.000002
150,DC-1920,item:268091,375078.000004
150,DC-1920,item:268967,1101534.0
151,DC-1920,item:268091,384743.999994
151,DC-1920,item:268967,1101534.0
152,DC-1920,item:268091,386086.0
152,DC-1920,item:268967,1101534.0
153,DC-1920,item:268091,386086.0
153,DC-1920,item:268967,1101534.0
154,DC-1920,item:268091,408312.0
154,DC-1920,item:268967,1101534.0
155,DC-1920,item:268091,430538.0
155,DC-1920,item:268967,1101534.0
156,DC-1920,item:268091,428998.714293
156,DC-1920,item:268967,1101534.0
157,DC-1920,item:268091,419756.285722
157,DC-1920,item:268967,1101534.0
158,DC-1920,item:268091,410513.857151
158,DC-1920,item:268967,1101534.0
159,DC-1920,item:268091,401271.42858
159,DC-1920,item:268967,1101534.0
160,DC-1920,item:268091,402810.714287
160,DC-1920,item:268967,1101534.0
161,DC-1920,item:268091,402810.714287
161,DC-1920,item:268967,1101534.0
162,DC-1920,item:268091,412053.142858
162,DC-1920,item:268967,1101534.0
163,DC-1920,item:268091,421295.571429
163,DC-1920,item:268967,1101415.571427
164,DC-1920,item:268091,430538.0
164,DC-1920,item:268967,1098673.42857
165,DC-1920,item:268091,427751.714277
165,DC-1920,item:268967,1095931.285713
166,DC-1920,item:268091,420794.857134
166,DC-1920,item:268967,1093307.571429
167,DC-1920,item:268091,413837.999991
167,DC-1920,item:268967,1090565.428572
168,DC-1920,item:268091,348031.857138
168,DC-1920,item:268967,779147.571429
169,DC-1920,item:268091,344108.571424
169,DC-1920,item:268967,755461.428572
170,DC-1920,item:268091,336014.71429
170,DC-1920,item:268967,734517.428572
171,DC-1920,item:268091,381662.42857
171,DC-1920,item:268967,713573.428572
172,DC-1920,item:268091,385182.285713
172,DC-1920,item:268967,689887.285715
173,DC-1920,item:268091,388702.142856
173,DC-1920,item:268967,950320.285717
174,DC-1920,item:268091,392221.999999
174,DC-1920,item:268967,926634.14286
175,DC-1920,item:268091,357757.571432
175,DC-1920,item:268967,950320.285717
176,DC-1920,item:268091,357381.000005
176,DC-1920,item:268967,1054161.714286
177,DC-1920,item:268091,363252.571433
177,DC-1920,item:268967,1054161.714286
178,DC-1920,item:268091,360720.285719
178,DC-1920,item:268967,1101534.0
179,DC-1920,item:268091,347307.857148
179,DC-1920,item:268967,1101534.0
180,DC-1920,item:268091,348295.428577
180,DC-1920,item:268967,1101534.0
181,DC-1920,item:268091,334883.000006
181,DC-1920,item:268967,1101534.0
182,DC-1920,item:268091,349283.000006
182,DC-1920,item:268967,1101534.0
183,DC-1920,item:268091,363683.000006
