day,node_id,output_item_id,desired_qty,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty
0,M-1430,item:268967,2734.66159,2734.66159,5200.0,81967.380894,none,,0.0
0,M-1810,item:268091,3505.571651,3505.571651,11900.0,83300.0,none,,0.0
0,SDC-1450,item:773474,28174.097862,28174.097862,2000000.0,315355475.338198,none,,0.0
1,M-1430,item:268967,2597.218032,2597.218032,5200.0,82261.926982,none,,0.0
1,M-1810,item:268091,1520.0,1520.0,11900.0,79794.428349,none,,0.0
1,SDC-1450,item:773474,28111.21533,28111.21533,2000000.0,315338399.586486,none,,0.0
2,M-1430,item:268967,2569.729321,2569.729321,5200.0,82694.550485,none,,0.0
2,M-1810,item:268091,818.88567,818.88567,11900.0,81780.0,none,,0.0
2,SDC-1450,item:773474,27491.477295,27491.477295,2000000.0,315310288.371156,none,,0.0
3,M-1430,item:268967,2564.231579,2564.231579,5200.0,83546.70054,none,,0.0
3,M-1810,item:268091,514.88567,514.88567,11900.0,83300.0,none,,0.0
3,SDC-1450,item:773474,26831.236615,26831.236615,2000000.0,315293272.35922,none,,0.0
4,M-1430,item:268967,2563.13203,2563.13203,5200.0,80982.468961,none,,0.0
4,M-1810,item:268091,351.108536,351.108536,11900.0,83300.0,none,,0.0
4,SDC-1450,item:773474,26284.327711,26284.327711,2000000.0,315300399.340047,none,,0.0
5,M-1430,item:268967,2562.91212,2562.91212,5200.0,81153.998521,none,,0.0
5,M-1810,item:268091,248.131402,248.131402,11900.0,83300.0,none,,0.0
5,SDC-1450,item:773474,25867.343778,25867.343778,2000000.0,315303650.334633,none,,0.0
6,M-1430,item:268967,2562.868138,2562.868138,5200.0,81601.278337,none,,0.0
6,M-1810,item:268091,177.909695,177.909695,11900.0,83051.868598,none,,0.0
6,SDC-1450,item:773474,25559.316992,25559.316992,2000000.0,315290234.130319,none,,0.0
7,M-1430,item:268967,5517.945056,5200.0,5200.0,79038.410199,capacity,,317.945056
7,M-1810,item:268091,2690.454843,2690.454843,11900.0,82873.958903,none,,0.0
7,SDC-1450,item:773474,25334.602066,25334.602066,2000000.0,315273947.84274,none,,0.0
8,M-1430,item:268967,6108.96044,5200.0,5200.0,76868.378506,capacity,,908.96044
8,M-1810,item:268091,4620.262397,4620.262397,11900.0,80609.545157,none,,0.0
8,SDC-1450,item:773474,30263.645388,30263.645388,2000000.0,315251114.675138,none,,0.0
9,M-1430,item:268967,6227.163517,5200.0,5200.0,74599.338192,capacity,,1027.163517
