day,node_id,item_id,produced_qty,cum_produced_qty,stock_end_of_day
0,M-1430,item:268967,107800.0,107800.0,107800.0
0,M-1810,item:268091,14400.0,14400.0,14400.0
0,SDC-1450,item:773474,0.0,0.0,9600000.0
1,M-1430,item:268967,0.0,107800.0,107800.0
1,M-1810,item:268091,0.0,14400.0,14400.0
1,SDC-1450,item:773474,3200000.0,3200000.0,3200000.0
2,M-1430,item:268967,0.0,107800.0,43500.142854
2,M-1810,item:268091,14400.0,28800.0,14400.0
2,SDC-1450,item:773474,6400000.0,9600000.0,8559221.0
3,M-1430,item:268967,34450.0,142250.0,34450.0
3,M-1810,item:268091,14400.0,43200.0,14400.0
3,SDC-1450,item:773474,0.0,9600000.0,7518442.0
4,M-1430,item:268967,0.0,142250.0,16509.999999
4,M-1810,item:268091,14400.0,57600.0,14400.0
4,SDC-1450,item:773474,3200000.0,12800000.0,3200000.0
5,M-1430,item:268967,0.0,142250.0,16509.999999
5,M-1810,item:268091,14400.0,72000.0,14400.0
5,SDC-1450,item:773474,6400000.0,19200000.0,8226616.0
6,M-1430,item:268967,0.0,142250.0,16509.999999
6,M-1810,item:268091,14400.0,86400.0,14400.0
6,SDC-1450,item:773474,0.0,19200000.0,6853232.0
7,M-1430,item:268967,0.0,142250.0,16509.999999
7,M-1810,item:268091,14400.0,100800.0,14400.0
7,SDC-1450,item:773474,3200000.0,22400000.0,8679848.0
8,M-1430,item:268967,0.0,142250.0,15082.142851
8,M-1810,item:268091,14400.0,115200.0,14400.0
8,SDC-1450,item:773474,0.0,22400000.0,7306464.0
9,M-1430,item:268967,0.0,142250.0,9.857131
9,M-1810,item:268091,14400.0,129600.0,14400.0
9,SDC-1450,item:773474,3200000.0,25600000.0,9133080.0
10,M-1430,item:268967,0.0,142250.0,9.857131
10,M-1810,item:268091,14400.0,144000.0,14400.0
10,SDC-1450,item:773474,0.0,25600000.0,7759696.0
11,M-1430,item:268967,0.0,142250.0,9.857131
11,M-1810,item:268091,14400.0,158400.0,14400.0
11,SDC-1450,item:773474,0.0,25600000.0,7186312.0
12,M-1430,item:268967,0.0,142250.0,9.857131
12,M-1810,item:268091,14400.0,172800.0,14400.0
12,SDC-1450,item:773474,0.0,25600000.0,7186312.0
13,M-1430,item:268967,0.0,142250.0,9.857131
13,M-1810,item:268091,14400.0,187200.0,14400.0
13,SDC-1450,item:773474,0.0,25600000.0,7186312.0
14,M-1430,item:268967,0.0,142250.0,9.857131
14,M-1810,item:268091,14400.0,201600.0,14400.0
14,SDC-1450,item:773474,0.0,25600000.0,7186312.0
15,M-1430,item:268967,0.0,142250.0,9.857131
15,M-1810,item:268091,14400.0,216000.0,14400.0
15,SDC-1450,item:773474,0.0,25600000.0,7186312.0
16,M-1430,item:268967,0.0,142250.0,9.857131
16,M-1810,item:268091,14400.0,230400.0,14400.0
16,SDC-1450,item:773474,0.0,25600000.0,7186312.0
17,M-1430,item:268967,0.0,142250.0,9.857131
17,M-1810,item:268091,14400.0,244800.0,14400.0
17,SDC-1450,item:773474,0.0,25600000.0,7186312.0
18,M-1430,item:268967,0.0,142250.0,9.857131
18,M-1810,item:268091,0.0,244800.0,1838.346934
18,SDC-1450,item:773474,0.0,25600000.0,7186312.0
19,M-1430,item:268967,0.0,142250.0,9.857131
19,M-1810,item:268091,14400.0,259200.0,14400.0
19,SDC-1450,item:773474,0.0,25600000.0,7186312.0
20,M-1430,item:268967,0.0,142250.0,0.0
20,M-1810,item:268091,0.0,259200.0,3823.285715
20,SDC-1450,item:773474,0.0,25600000.0,7186312.0
21,M-1430,item:268967,0.0,142250.0,0.0
21,M-1810,item:268091,14400.0,273600.0,14400.0
21,SDC-1450,item:773474,0.0,25600000.0,7186312.0
22,M-1430,item:268967,0.0,142250.0,0.0
22,M-1810,item:268091,14400.0,288000.0,14400.0
22,SDC-1450,item:773474,0.0,25600000.0,7186312.0
23,M-1430,item:268967,0.0,142250.0,0.0
23,M-1810,item:268091,0.0,288000.0,139660.0
23,SDC-1450,item:773474,0.0,25600000.0,7186312.0
24,M-1430,item:268967,0.0,142250.0,0.0
24,M-1810,item:268091,0.0,288000.0,85080.897952
24,SDC-1450,item:773474,0.0,25600000.0,7186312.0
25,M-1430,item:268967,0.0,142250.0,0.0
25,M-1810,item:268091,0.0,288000.0,50684.448967
25,SDC-1450,item:773474,0.0,25600000.0,7186312.0
26,M-1430,item:268967,0.0,142250.0,0.0
26,M-1810,item:268091,0.0,288000.0,50684.448967
26,SDC-1450,item:773474,0.0,25600000.0,7186312.0
27,M-1430,item:268967,0.0,142250.0,0.0
27,M-1810,item:268091,0.0,288000.0,50684.448967
27,SDC-1450,item:773474,0.0,25600000.0,7186312.0
28,M-1430,item:268967,0.0,142250.0,0.0
28,M-1810,item:268091,0.0,288000.0,50684.448967
28,SDC-1450,item:773474,0.0,25600000.0,7186312.0
29,M-1430,item:268967,0.0,142250.0,0.0
29,M-1810,item:268091,0.0,288000.0,50684.448967
29,SDC-1450,item:773474,0.0,25600000.0,7186312.0
30,M-1430,item:268967,0.0,142250.0,0.0
30,M-1810,item:268091,0.0,288000.0,50684.448967
30,SDC-1450,item:773474,0.0,25600000.0,7186312.0
31,M-1430,item:268967,0.0,142250.0,0.0
31,M-1810,item:268091,0.0,288000.0,50684.448967
31,SDC-1450,item:773474,0.0,25600000.0,7186312.0
32,M-1430,item:268967,0.0,142250.0,0.0
32,M-1810,item:268091,0.0,288000.0,48314.653061
32,SDC-1450,item:773474,0.0,25600000.0,7186312.0
33,M-1430,item:268967,0.0,142250.0,0.0
33,M-1810,item:268091,0.0,288000.0,37772.938786
33,SDC-1450,item:773474,0.0,25600000.0,7186312.0
34,M-1430,item:268967,0.0,142250.0,0.0
34,M-1810,item:268091,0.0,288000.0,21556.367354
34,SDC-1450,item:773474,0.0,25600000.0,7186312.0
35,M-1430,item:268967,0.0,142250.0,0.0
35,M-1810,item:268091,0.0,288000.0,106279.12244
35,SDC-1450,item:773474,0.0,25600000.0,7186312.0
36,M-1430,item:268967,0.0,142250.0,0.0
36,M-1810,item:268091,0.0,288000.0,106279.12244
36,SDC-1450,item:773474,0.0,25600000.0,7186312.0
37,M-1430,item:268967,0.0,142250.0,0.0
37,M-1810,item:268091,0.0,288000.0,106279.12244
37,SDC-1450,item:773474,0.0,25600000.0,7186312.0
38,M-1430,item:268967,0.0,142250.0,0.0
38,M-1810,item:268091,0.0,288000.0,102707.326522
38,SDC-1450,item:773474,0.0,25600000.0,7186312.0
39,M-1430,item:268967,0.0,142250.0,0.0
39,M-1810,item:268091,0.0,288000.0,92698.755098
39,SDC-1450,item:773474,0.0,25600000.0,7186312.0
40,M-1430,item:268967,0.0,142250.0,0.0
40,M-1810,item:268091,0.0,288000.0,73041.816327
40,SDC-1450,item:773474,0.0,25600000.0,7186312.0
41,M-1430,item:268967,0.0,142250.0,0.0
41,M-1810,item:268091,0.0,288000.0,50513.89796
41,SDC-1450,item:773474,0.0,25600000.0,7186312.0
42,M-1430,item:268967,0.0,142250.0,0.0
42,M-1810,item:268091,0.0,288000.0,51903.979589
42,SDC-1450,item:773474,0.0,25600000.0,7186312.0
43,M-1430,item:268967,0.0,142250.0,0.0
43,M-1810,item:268091,0.0,288000.0,188618.653055
43,SDC-1450,item:773474,0.0,25600000.0,7186312.0
44,M-1430,item:268967,0.0,142250.0,0.0
44,M-1810,item:268091,0.0,288000.0,171680.612236
44,SDC-1450,item:773474,0.0,25600000.0,7186312.0
45,M-1430,item:268967,0.0,142250.0,0.0
45,M-1810,item:268091,0.0,288000.0,160613.428567
45,SDC-1450,item:773474,0.0,25600000.0,7186312.0
46,M-1430,item:268967,0.0,142250.0,0.0
46,M-1810,item:268091,0.0,288000.0,133900.89796
46,SDC-1450,item:773474,0.0,25600000.0,7186312.0
47,M-1430,item:268967,0.0,142250.0,0.0
47,M-1810,item:268091,0.0,288000.0,118522.285719
47,SDC-1450,item:773474,0.0,25600000.0,7186312.0
48,M-1430,item:268967,0.0,142250.0,0.0
48,M-1810,item:268091,0.0,288000.0,85446.408171
48,SDC-1450,item:773474,0.0,25600000.0,7186312.0
49,M-1430,item:268967,0.0,142250.0,0.0
49,M-1810,item:268091,0.0,288000.0,75738.448983
49,SDC-1450,item:773474,0.0,25600000.0,7186312.0
50,M-1430,item:268967,0.0,142250.0,0.0
50,M-1810,item:268091,0.0,288000.0,75738.448983
50,SDC-1450,item:773474,0.0,25600000.0,7186312.0
51,M-1430,item:268967,0.0,142250.0,0.0
51,M-1810,item:268091,0.0,288000.0,63749.999997
51,SDC-1450,item:773474,0.0,25600000.0,7186312.0
52,M-1430,item:268967,0.0,142250.0,0.0
52,M-1810,item:268091,0.0,288000.0,38909.34693
52,SDC-1450,item:773474,0.0,25600000.0,7186312.0
53,M-1430,item:268967,0.0,142250.0,0.0
53,M-1810,item:268091,0.0,288000.0,13297.59183
53,SDC-1450,item:773474,0.0,25600000.0,7186312.0
54,M-1430,item:268967,0.0,142250.0,0.0
54,M-1810,item:268091,14400.0,302400.0,14400.0
54,SDC-1450,item:773474,0.0,25600000.0,7186312.0
55,M-1430,item:268967,0.0,142250.0,0.0
55,M-1810,item:268091,0.0,302400.0,140794.510212
55,SDC-1450,item:773474,0.0,25600000.0,7186312.0
56,M-1430,item:268967,0.0,142250.0,0.0
56,M-1810,item:268091,0.0,302400.0,140794.510212
56,SDC-1450,item:773474,0.0,25600000.0,7186312.0
57,M-1430,item:268967,0.0,142250.0,0.0
57,M-1810,item:268091,0.0,302400.0,129221.571432
57,SDC-1450,item:773474,0.0,25600000.0,7186312.0
58,M-1430,item:268967,73350.0,215600.0,73350.0
58,M-1810,item:268091,0.0,302400.0,116925.285719
58,SDC-1450,item:773474,0.0,25600000.0,7186312.0
59,M-1430,item:268967,36650.0,252250.0,36650.0
59,M-1810,item:268091,0.0,302400.0,95894.346944
59,SDC-1450,item:773474,0.0,25600000.0,7186312.0
60,M-1430,item:268967,20000.0,272250.0,20000.0
60,M-1810,item:268091,0.0,302400.0,78748.959188
60,SDC-1450,item:773474,0.0,25600000.0,7186312.0
61,M-1430,item:268967,25000.0,297250.0,25000.0
61,M-1810,item:268091,0.0,302400.0,85847.69388
61,SDC-1450,item:773474,0.0,25600000.0,10386312.0
62,M-1430,item:268967,25000.0,322250.0,25000.0
62,M-1810,item:268091,0.0,302400.0,85847.69388
62,SDC-1450,item:773474,0.0,25600000.0,10386312.0
63,M-1430,item:268967,1150.0,323400.0,1150.0
63,M-1810,item:268091,0.0,302400.0,225389.938775
63,SDC-1450,item:773474,0.0,25600000.0,10386312.0
64,M-1430,item:268967,107800.0,431200.0,107800.0
64,M-1810,item:268091,0.0,302400.0,357812.122445
64,SDC-1450,item:773474,0.0,25600000.0,10386312.0
65,M-1430,item:268967,0.0,431200.0,45365.57142
65,M-1810,item:268091,0.0,302400.0,345849.428565
65,SDC-1450,item:773474,0.0,25600000.0,10386312.0
66,M-1430,item:268967,107800.0,539000.0,107800.0
66,M-1810,item:268091,0.0,302400.0,337981.714284
66,SDC-1450,item:773474,0.0,25600000.0,10386312.0
67,M-1430,item:268967,0.0,539000.0,98673.632654
67,M-1810,item:268091,0.0,302400.0,322831.102044
67,SDC-1450,item:773474,0.0,25600000.0,10386312.0
68,M-1430,item:268967,0.0,539000.0,98673.632654
68,M-1810,item:268091,0.0,302400.0,308518.000004
68,SDC-1450,item:773474,0.0,25600000.0,10386312.0
69,M-1430,item:268967,0.0,539000.0,98673.632654
69,M-1810,item:268091,0.0,302400.0,308518.000004
69,SDC-1450,item:773474,0.0,25600000.0,10386312.0
70,M-1430,item:268967,0.0,539000.0,98673.632654
70,M-1810,item:268091,0.0,302400.0,308518.000004
