event_id,trigger_day,start_day,end_day,supplier_id,item_id,risk_family,risk_type,multiplier,trigger_metric,trigger_value,threshold,consecutive_days,effect,notes
state_stock_stock_cover_below_3d_SDC_VD0508918A_item_730384_d30,30,31,44,SDC-VD0508918A,item:730384,stock,availability,0.85,stock_cover_below_3d,2.334967,3.0,2,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
state_stock_stock_cover_below_5d_SDC_VD0520115A_item_708073_d30,30,31,37,SDC-VD0520115A,item:708073,stock,availability,0.95,stock_cover_below_5d,1.441204,5.0,9,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_5d_SDC_VD0520132A_item_038005_d30,30,31,37,SDC-VD0520132A,item:038005,stock,availability,0.95,stock_cover_below_5d,3.338752,5.0,22,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_5d_SDC_VD0525412A_item_333362_d30,30,31,37,SDC-VD0525412A,item:333362,stock,availability,0.95,stock_cover_below_5d,1.012987,5.0,24,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0525412A_item_333362_d30,30,31,44,SDC-VD0525412A,item:333362,stock,availability,0.85,stock_cover_below_3d,1.012987,3.0,24,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
state_stock_stock_cover_below_5d_SDC_VD0914690A_item_042342_d30,30,31,37,SDC-VD0914690A,item:042342,stock,availability,0.95,stock_cover_below_5d,2.945934,5.0,23,Disponibilite fournisseur x0.95 pendant 7 jours,Alerte legere: declenche quand le stock fournisseur couvre moins de 5 jours de besoin pendant 5 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0914690A_item_042342_d30,30,31,44,SDC-VD0914690A,item:042342,stock,availability,0.85,stock_cover_below_3d,2.945934,3.0,2,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0949099A_item_021081_d30,30,31,44,SDC-VD0949099A,item:021081,stock,availability,0.85,stock_cover_below_3d,1.699214,3.0,3,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0960508A_item_021081_d30,30,31,44,SDC-VD0960508A,item:021081,stock,availability,0.85,stock_cover_below_3d,1.699214,3.0,3,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
state_stock_stock_cover_below_3d_SDC_VD0972460A_item_021081_d30,30,31,44,SDC-VD0972460A,item:021081,stock,availability,0.85,stock_cover_below_3d,1.699214,3.0,3,Disponibilite fournisseur x0.85 pendant 14 jours,Tension stock: declenche quand le stock fournisseur couvre moins de 3 jours de besoin pendant 2 jours consecutifs.
