day,node_id,output_item_id,desired_qty,planned_qty_after_lot_rule,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty,shortfall_vs_lot_plan_qty,lot_policy_mode,lot_fixed_qty,lot_min_qty,lot_max_qty,lot_multiple_qty,max_lots_per_week,started_lots_this_week,requested_lot_starts,actual_lot_starts,campaign_requested_qty,campaign_started_qty,campaign_remaining_start_qty,campaign_remaining_end_qty
0,M-1430,item:268967,3301.619113,77000.0,0.0,154000.0,0.0,lot_campaign_blocked,,3301.619113,77000.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,77000.0,77000.0
0,SDC-1450,item:773474,3886826.571607,6400000.0,2000000.0,2000000.0,105351677.852349,capacity,,1886826.571607,4400000.0,fixed,3200000.0,0.0,0.0,0.0,0,2,2,2,6400000.0,6400000.0,6400000.0,4400000.0
1,M-1430,item:268967,2710.609537,77000.0,0.0,154000.0,0.0,lot_campaign_blocked,,2710.609537,77000.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,77000.0,77000.0
1,SDC-1450,item:773474,3886826.571921,4400000.0,2000000.0,2000000.0,103351677.852349,capacity,,1886826.571921,2400000.0,fixed,3200000.0,0.0,0.0,0.0,0,2,0,0,0.0,0.0,4400000.0,2400000.0
2,M-1430,item:268967,2592.407622,77000.0,0.0,154000.0,0.0,lot_campaign_blocked,,2592.407622,77000.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,77000.0,77000.0
2,SDC-1450,item:773474,3886826.571984,2400000.0,2000000.0,2000000.0,101351677.852349,capacity,,1886826.571984,400000.0,fixed,3200000.0,0.0,0.0,0.0,0,2,0,0,0.0,0.0,2400000.0,400000.0
3,M-1430,item:268967,2568.767239,77000.0,20000.0,154000.0,20000.0,input_shortage,item:344135,0.0,57000.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,77000.0,57000.0
3,SDC-1450,item:773474,3886826.571997,400000.0,400000.0,2000000.0,99351677.852349,none,,3486826.571997,0.0,fixed,3200000.0,0.0,0.0,0.0,0,2,0,0,0.0,0.0,400000.0,0.0
4,M-1430,item:268967,2564.039162,57000.0,0.0,154000.0,0.0,lot_campaign_blocked,,2564.039162,57000.0,fixed,107800.0,107800.0,107800.0,0.0,10,0,0,0,0.0,0.0,57000.0,57000.0
4,SDC-1450,item:773474,3886826.571999,6400000.0,2000000.0,2000000.0,98951677.852349,capacity,,1886826.571999,4400000.0,fixed,3200000.0,0.0,0.0,0.0,0,4,2,2,6400000.0,6400000.0,6400000.0,4400000.0
