category,node_id,item_id,edge_id,source,payload_json
assumed_supplier_node,SDC-1450,,,simulation_prep_assumption,"{""node_id"": ""SDC-1450""}"
assumed_supply_edge,,,edge:SDC-1450_TO_M-1810_007923_Q,simulation_prep_assumption,"{""edge_id"": ""edge:SDC-1450_TO_M-1810_007923_Q""}"
mrp_safety_policy,C-XXXXX,item:268091,,stocks_mrp_or_override,"{""item_id"": ""item:268091"", ""node_id"": ""C-XXXXX"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 0.0}"
mrp_safety_policy,C-XXXXX,item:268967,,stocks_mrp_or_override,"{""item_id"": ""item:268967"", ""node_id"": ""C-XXXXX"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 0.0}"
mrp_safety_policy,DC-1920,item:268091,,stocks_mrp_or_override,"{""item_id"": ""item:268091"", ""node_id"": ""DC-1920"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 20.0}"
mrp_safety_policy,DC-1920,item:268967,,stocks_mrp_or_override,"{""item_id"": ""item:268967"", ""node_id"": ""DC-1920"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 25.0}"
mrp_safety_policy,M-1430,item:038005,,stocks_mrp_or_override,"{""item_id"": ""item:038005"", ""node_id"": ""M-1430"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 20.0}"
mrp_safety_policy,M-1430,item:042342,,stocks_mrp_or_override,"{""item_id"": ""item:042342"", ""node_id"": ""M-1430"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 5.0}"
mrp_safety_policy,M-1430,item:268967,,stocks_mrp_or_override,"{""item_id"": ""item:268967"", ""node_id"": ""M-1430"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 0.0}"
mrp_safety_policy,M-1430,item:333362,,stocks_mrp_or_override,"{""item_id"": ""item:333362"", ""node_id"": ""M-1430"", ""safety_stock_qty"": 110000.0, ""safety_time_days"": 10.0}"
mrp_safety_policy,M-1430,item:344135,,stocks_mrp_or_override,"{""item_id"": ""item:344135"", ""node_id"": ""M-1430"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 10.0}"
mrp_safety_policy,M-1430,item:708073,,stocks_mrp_or_override,"{""item_id"": ""item:708073"", ""node_id"": ""M-1430"", ""safety_stock_qty"": 2000.0, ""safety_time_days"": 10.0}"
mrp_safety_policy,M-1430,item:730384,,stocks_mrp_or_override,"{""item_id"": ""item:730384"", ""node_id"": ""M-1430"", ""safety_stock_qty"": 23500.0, ""safety_time_days"": 10.0}"
mrp_safety_policy,M-1430,item:734545,,stocks_mrp_or_override,"{""item_id"": ""item:734545"", ""node_id"": ""M-1430"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 10.0}"
mrp_safety_policy,M-1430,item:773474,,stocks_mrp_or_override,"{""item_id"": ""item:773474"", ""node_id"": ""M-1430"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 20.0}"
mrp_safety_policy,M-1810,item:001757,,stocks_mrp_or_override,"{""item_id"": ""item:001757"", ""node_id"": ""M-1810"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 20.0}"
mrp_safety_policy,M-1810,item:001848,,stocks_mrp_or_override,"{""item_id"": ""item:001848"", ""node_id"": ""M-1810"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 20.0}"
mrp_safety_policy,M-1810,item:001893,,stocks_mrp_or_override,"{""item_id"": ""item:001893"", ""node_id"": ""M-1810"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 15.0}"
mrp_safety_policy,M-1810,item:002612,,stocks_mrp_or_override,"{""item_id"": ""item:002612"", ""node_id"": ""M-1810"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 20.0}"
mrp_safety_policy,M-1810,item:007923,,stocks_mrp_or_override,"{""item_id"": ""item:007923"", ""node_id"": ""M-1810"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 15.0}"
mrp_safety_policy,M-1810,item:016332,,stocks_mrp_or_override,"{""item_id"": ""item:016332"", ""node_id"": ""M-1810"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 7.0}"
mrp_safety_policy,M-1810,item:029313,,stocks_mrp_or_override,"{""item_id"": ""item:029313"", ""node_id"": ""M-1810"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 7.0}"
mrp_safety_policy,M-1810,item:039668,,stocks_mrp_or_override,"{""item_id"": ""item:039668"", ""node_id"": ""M-1810"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 7.0}"
mrp_safety_policy,M-1810,item:049371,,stocks_mrp_or_override,"{""item_id"": ""item:049371"", ""node_id"": ""M-1810"", ""safety_stock_qty"": 888.0, ""safety_time_days"": 40.0}"
mrp_safety_policy,M-1810,item:055703,,stocks_mrp_or_override,"{""item_id"": ""item:055703"", ""node_id"": ""M-1810"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 30.0}"
mrp_safety_policy,M-1810,item:099439,,stocks_mrp_or_override,"{""item_id"": ""item:099439"", ""node_id"": ""M-1810"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 7.0}"
mrp_safety_policy,M-1810,item:268091,,stocks_mrp_or_override,"{""item_id"": ""item:268091"", ""node_id"": ""M-1810"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 0.0}"
mrp_safety_policy,M-1810,item:338928,,stocks_mrp_or_override,"{""item_id"": ""item:338928"", ""node_id"": ""M-1810"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 10.0}"
mrp_safety_policy,M-1810,item:338929,,stocks_mrp_or_override,"{""item_id"": ""item:338929"", ""node_id"": ""M-1810"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 10.0}"
mrp_safety_policy,M-1810,item:426331,,stocks_mrp_or_override,"{""item_id"": ""item:426331"", ""node_id"": ""M-1810"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 7.0}"
mrp_safety_policy,M-1810,item:693055,,stocks_mrp_or_override,"{""item_id"": ""item:693055"", ""node_id"": ""M-1810"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 20.0}"
mrp_safety_policy,SDC-1450,item:007923,,stocks_mrp_or_override,"{""item_id"": ""item:007923"", ""node_id"": ""SDC-1450"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 0.0}"
mrp_safety_policy,SDC-1450,item:021081,,stocks_mrp_or_override,"{""item_id"": ""item:021081"", ""node_id"": ""SDC-1450"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 0.0}"
mrp_safety_policy,SDC-1450,item:693055,,stocks_mrp_or_override,"{""item_id"": ""item:693055"", ""node_id"": ""SDC-1450"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 0.0}"
mrp_safety_policy,SDC-1450,item:773474,,stocks_mrp_or_override,"{""item_id"": ""item:773474"", ""node_id"": ""SDC-1450"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 0.0}"
mrp_safety_policy,SDC-VD0500655A,item:002612,,stocks_mrp_or_override,"{""item_id"": ""item:002612"", ""node_id"": ""SDC-VD0500655A"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 0.0}"
mrp_safety_policy,SDC-VD0505677A,item:099439,,stocks_mrp_or_override,"{""item_id"": ""item:099439"", ""node_id"": ""SDC-VD0505677A"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 0.0}"
mrp_safety_policy,SDC-VD0508918A,item:730384,,stocks_mrp_or_override,"{""item_id"": ""item:730384"", ""node_id"": ""SDC-VD0508918A"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 0.0}"
mrp_safety_policy,SDC-VD0514881A,item:016332,,stocks_mrp_or_override,"{""item_id"": ""item:016332"", ""node_id"": ""SDC-VD0514881A"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 0.0}"
mrp_safety_policy,SDC-VD0518684A,item:001893,,stocks_mrp_or_override,"{""item_id"": ""item:001893"", ""node_id"": ""SDC-VD0518684A"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 0.0}"
mrp_safety_policy,SDC-VD0519670A,item:001848,,stocks_mrp_or_override,"{""item_id"": ""item:001848"", ""node_id"": ""SDC-VD0519670A"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 0.0}"
mrp_safety_policy,SDC-VD0519670A,item:029313,,stocks_mrp_or_override,"{""item_id"": ""item:029313"", ""node_id"": ""SDC-VD0519670A"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 0.0}"
mrp_safety_policy,SDC-VD0520115A,item:708073,,stocks_mrp_or_override,"{""item_id"": ""item:708073"", ""node_id"": ""SDC-VD0520115A"", ""safety_stock_qty"": 0.0, ""safety_time_days"": 0.0}"
