day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:007923,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,SDC-1450 | item:021081
0,123.456687,59135.16,2755.0,1605.0,10.34865,546.96,7.84,4634.26464,6.26052,3.14244,19.90212,3.25815,635.04,1.098636,0.104748,0.065163,10.109806,0.156716,3.25815,3205.0,1930.0,14.355,1301.23,983400.0
1,123.054206,57747.294,2732.0,1582.0,10.16626,542.084,7.656,4412.206126,6.223168,3.114426,19.724698,3.21146,560.336,1.08743,0.103814,0.064229,10.075255,0.154848,3.21146,3182.0,1907.0,14.102,1291.892,983399.640362
2,122.616726,56238.744,2707.0,1557.0,9.96801,536.784,7.456,4170.838176,6.182568,3.083976,19.531848,3.16071,618.8,1.07525,0.102799,0.063214,10.0377,0.152818,3.16071,3157.0,1882.0,13.827,1281.742,983398.86714
3,122.179247,54730.194,2682.0,1532.0,9.76976,531.484,7.256,3929.470226,6.141968,3.053526,19.338998,3.10996,618.8,1.06307,0.101784,0.062199,10.000145,0.150788,3.10996,3132.0,1857.0,13.552,1271.592,983397.716297
4,121.741767,53221.644,2657.0,1507.0,9.57151,526.184,7.056,3688.102276,6.101368,3.023076,19.146148,3.05921,618.8,1.05089,0.100769,0.061184,9.96259,0.148758,3.05921,3107.0,1832.0,13.277,1261.442,983396.270551
5,121.304288,51713.094,2632.0,1482.0,9.37326,520.884,6.856,3668.79284,6.060768,2.992626,18.953298,3.00846,537.6,1.03871,0.099754,0.060169,9.925035,0.146728,3.00846,3082.0,1807.0,13.002,1251.292,983394.605426
6,120.89983,50318.411768,2608.88704,1458.88704,9.189974,515.984052,6.671096,3445.643729,6.023233,2.985789,18.775005,2.961541,624.929106,1.02745,0.098816,0.059231,9.890315,0.144852,2.961541,3058.88704,1783.88704,12.747757,1241.908138,983392.779903
7,120.538952,49074.003321,2588.264448,1438.264448,9.026437,511.612063,6.506116,3439.632779,5.989741,2.960671,18.615922,2.919677,633.017821,1.017402,0.097979,0.058394,9.859336,0.143177,2.919677,3038.264448,1763.264448,12.520909,1233.535366,983390.871789
8,120.134292,47678.623632,2565.13993,1415.13993,8.84306,506.709665,6.321119,3216.372075,5.952187,2.932505,18.437539,2.882884,557.909385,1.006136,0.09704,0.057455,9.824598,0.141299,2.872734,3015.13993,1740.13993,12.266539,1224.146811,983388.957946
9,119.696812,46170.073632,2540.13993,1390.13993,8.64481,501.409665,6.121119,2975.004125,5.911587,2.902055,18.244689,2.832134,618.8,0.993956,0.096025,0.05644,9.787043,0.139269,2.821984,2990.13993,1715.13993,11.991539,1213.996811,983387.009903
10,119.259333,44661.523632,2515.13993,1365.13993,8.44656,496.109665,5.921119,2733.636175,5.870987,2.871605,18.051839,2.781384,618.8,0.981776,0.09501,0.055425,9.749488,0.137239,2.771234,2965.13993,1690.13993,11.716539,1203.846811,983384.99508
11,118.821854,43152.973632,2490.13993,1340.13993,8.24831,490.809665,5.721119,2492.268225,5.830387,2.841155,17.858989,2.730634,537.6,0.969596,0.093995,0.05441,9.711933,0.135209,2.720484,2940.13993,1665.13993,11.441539,1193.696811,983382.920319
12,118.384374,41644.423632,2465.13993,1315.13993,8.05006,485.509665,5.521119,2450.005585,5.789787,2.810705,17.666139,2.679884,537.6,0.957416,0.09298,0.053395,9.674378,0.133179,2.669734,2915.13993,1640.13993,11.166539,1183.546811,983380.798974
13,117.979916,40249.738995,2442.02693,1292.02693,7.866774,480.609709,5.336215,2468.224039,5.752252,2.803869,17.487846,2.632965,543.728977,0.946156,0.092041,0.052456,9.639658,0.131303,2.622815,2892.02693,1617.02693,10.912296,1174.162933,983378.643034
14,117.619037,39005.330068,2421.40433,1271.40433,7.703236,476.237718,5.171235,2269.118652,5.718761,2.77875,17.452958,2.591101,557.946772,0.936108,0.092138,0.051619,9.608679,0.129628,2.580951,2871.40433,1596.40433,10.685448,1165.790158,983376.495746
15,117.214377,37774.110282,2398.27981,1248.27981,7.519859,475.57532,4.986238,2045.857933,5.681206,2.7719,17.274576,2.544158,557.909354,0.924842,0.091199,0.05068,9.573941,0.128887,2.580698,2848.27981,1573.27981,10.431078,1156.401603,983374.408813
16,116.776898,36265.560282,2373.27981,1223.27981,7.321609,470.27532,4.786238,2045.857933,5.640606,2.74145,17.081726,2.493408,618.8,0.912662,0.090184,0.049665,9.536386,0.126857,2.529948,2823.27981,1548.27981,10.156078,1146.251603,983372.335515
17,116.339418,34757.010282,2348.27981,1198.27981,7.321609,464.97532,4.586238,2045.857933,5.637358,2.728052,16.888876,2.442658,618.8,0.900482,0.089169,0.04865,9.498831,0.126751,2.479198,2798.27981,1523.27981,9.881078,1136.101603,983370.230055
18,115.901939,33248.460282,2323.27981,1173.27981,7.281959,459.67532,4.386238,2045.857933,5.596758,2.718917,16.696026,2.393938,618.8,0.888302,0.088154,0.047635,9.461276,0.124721,2.428448,2773.27981,1498.27981,9.881078,1125.951603,983368.089707
19,115.46446,31739.910282,2298.27981,1148.27981,7.083709,459.275267,4.186238,2027.639094,5.556158,2.688467,16.503176,2.345534,618.8,0.876122,0.087139,0.047559,9.423721,0.124672,2.377698,2748.27981,1498.27981,9.606078,1115.801603,983365.920903
20,115.060001,30345.225646,2275.16681,1125.16681,6.900423,454.375311,4.186331,2269.118252,5.518623,2.660315,16.324882,2.298615,624.928976,0.874605,0.086201,0.046621,9.389001,0.122795,2.371379,2725.16681,1475.16681,9.351835,1106.417725,983363.730621
21,114.699123,29100.816718,2254.54421,1104.54421,6.736886,450.00332,4.22135,2269.118252,5.485132,2.654903,16.300794,2.256751,633.017795,0.864558,0.085363,0.045783,9.358021,0.122541,2.329515,2704.54421,1454.54421,9.377986,1098.044949,983361.558484
22,114.294463,27705.436933,2231.41969,1081.41969,6.553508,445.100922,4.236354,2045.857533,5.447578,2.626737,16.247217,2.212345,624.891559,0.853292,0.084424,0.045859,9.323284,0.120664,2.329491,2681.41969,1431.41969,9.123617,1088.656394,983359.453569
23,113.856983,26196.886933,2206.41969,1056.41969,6.355258,439.800922,4.236354,2269.118252,5.406978,2.617602,16.189362,2.164133,618.8,0.841112,0.083409,0.044844,9.285729,0.119947,2.278741,2656.41969,1406.41969,9.075465,1078.506394,983357.367259
24,113.419504,24688.336933,2181.41969,1056.41969,6.157008,434.500922,4.036354,2510.486202,5.366378,2.59446,15.996512,2.148908,537.6,0.828932,0.082394,0.043829,9.248174,0.117917,2.227991,2631.41969,1381.41969,8.800465,1068.356394,983355.252384
25,112.982024,23179.786933,2156.41969,1031.41969,6.507811,429.200922,3.836354,2510.486202,5.325778,2.583726,15.803662,2.098158,618.8,0.816752,0.083206,0.042814,9.210619,0.117308,2.177241,2606.41969,1356.41969,8.779835,1058.206394,983353.105223
26,112.544545,21671.236933,2131.41969,1006.41969,6.309561,423.900922,3.636354,2468.223639,5.285178,2.574591,15.610812,2.047408,618.8,0.804572,0.082191,0.041799,9.173064,0.115278,2.177241,2581.41969,1331.41969,8.504835,1048.056394,983350.931489
27,112.140087,20276.552296,2108.30669,983.30669,6.126275,429.176966,3.61145,2709.591589,5.247642,2.567755,15.451804,2.014457,624.928976,0.793311,0.081253,0.040861,9.138343,0.113402,2.181072,2558.30669,1308.30669,8.525592,1038.672516,983348.73764
28,111.779208,19032.143369,2087.68409,962.68409,6.160988,424.804975,4.01145,2751.854152,5.214151,2.542636,15.292721,2.026321,633.017795,0.795444,0.080416,0.040024,9.107364,0.115883,2.139208,2537.68409,1287.68409,8.298743,1030.299741,983346.562922
29,111.374548,17636.763583,2064.55957,939.55957,6.175861,419.902576,4.026453,2769.961383,5.176597,2.514471,15.114338,1.981916,557.909354,0.784177,0.079477,0.0401,9.072626,0.114005,2.143015,2514.55957,1264.55957,8.319374,1020.911185,983344.456139
30,110.961132,16211.189626,2040.934666,915.934666,5.988515,414.894097,3.837454,2765.019092,5.13823,2.546326,15.067091,2.0333,548.157871,0.772667,0.078518,0.040156,9.037137,0.11265,2.145807,2490.934666,1240.934666,8.0595,1020.708029,983342.368477
31,110.545964,14779.576835,2017.209685,892.209685,5.800376,409.864401,3.647654,2759.221813,5.099701,2.535012,15.019071,2.020663,546.207574,0.761109,0.077555,0.039193,9.001497,0.113459,2.097645,2467.209685,1217.209685,8.073525,1011.075687,983341.687727
32,110.130446,13346.756277,1993.464689,913.464689,5.612078,404.830462,3.657694,2994.59924,5.061139,2.548721,14.835902,2.010379,545.817515,0.74954,0.07659,0.038229,8.965828,0.111531,2.049443,2443.464689,1193.464689,8.293421,1001.435218,983339.587512
33,109.714858,11913.694165,1969.71569,889.71569,5.423749,399.795674,3.837602,2988.458846,5.02257,2.519795,14.787698,1.974412,545.739503,0.737969,0.076565,0.037264,8.930152,0.111633,2.051982,2444.71569,1169.71569,8.032182,991.793125,983337.478543
34,109.299256,10480.583743,1945.96589,865.96589,5.433663,394.760716,3.832508,2759.161226,4.984001,2.490867,14.604492,1.93635,545.723901,0.726399,0.0756,0.0363,8.894475,0.112546,2.05452,2420.96589,1145.96589,7.770935,982.150706,983335.362564
35,108.883652,9047.463658,1922.21593,842.21593,5.607113,389.725725,4.042508,2529.86206,4.945431,2.500838,14.581749,1.928293,545.72078,0.714828,0.074636,0.035336,8.858798,0.110618,2.057058,2397.21593,1122.21593,8.038928,972.508222,983333.241311
36,108.468046,7614.341641,1898.465938,818.465938,5.418775,384.690726,4.401489,2300.562584,4.906861,2.47191,14.437111,1.880081,545.720156,0.715437,0.073672,0.035387,8.823121,0.108689,2.008845,2373.465938,1098.465938,8.602678,962.865725,983331.116186
37,108.052441,6181.219238,1874.71594,794.71594,5.428688,379.655727,4.211489,2541.882239,4.868291,2.491016,14.28958,1.867393,545.720031,0.703866,0.072708,0.035437,8.787443,0.106761,1.960633,2349.71594,1074.71594,8.341428,953.223226,983329.071496
38,107.636836,4748.096757,1850.96594,770.96594,5.4386,374.620727,4.206485,2511.688077,4.829721,2.481804,14.106373,1.840241,622.860001,0.692295,0.071743,0.034473,8.751766,0.104832,2.01392,2345.96594,1050.96594,8.080178,943.580726,983326.941505
39,107.22123,3314.974261,1827.21594,747.21594,5.250263,369.585727,4.016485,2751.848261,4.791151,2.452876,13.98102,1.804525,622.86,0.680724,0.070779,0.033509,8.716089,0.105639,2.016458,2322.21594,1027.21594,7.818928,933.938226,983324.810033
40,106.805625,1881.851762,1803.46594,723.46594,5.061925,364.550727,4.391466,2522.548708,4.752581,2.441488,13.797813,1.761195,622.86,0.669153,0.070652,0.032545,8.680412,0.10635,1.968245,2323.46594,1028.46594,7.557678,924.295726,983322.677488
41,106.390019,448.729262,1804.71594,722.71594,4.873588,359.515727,4.401466,2534.617106,4.714011,2.412561,13.813528,1.760244,622.86,0.669762,0.069688,0.03356,8.644734,0.105,2.008839,2299.71594,1004.71594,8.073277,914.653226,983320.544168
42,106.259888,0.0,1797.279507,715.279507,4.814617,357.939203,4.526879,3150.709354,4.675441,2.401903,13.765315,1.714378,545.72,0.668238,0.068724,0.032595,8.609057,0.104243,1.960627,2275.96594,1003.96594,7.812027,905.010726,983318.514024
