day,node_id,item_id,shipped_to_node_qty,uom
0,M-1430,item:038005,0.349984,KG
0,M-1430,item:042342,180.0,UN
0,M-1430,item:333362,20.0,UN
0,M-1430,item:344135,20.0,UN
0,M-1430,item:708073,0.1586,KG
0,M-1430,item:730384,4.24,M
0,M-1430,item:734545,0.16,UN
0,M-1430,item:773474,180.0,G
0,M-1810,item:001757,0.038976,KG
0,M-1810,item:001848,0.029232,KG
0,M-1810,item:001893,0.185136,KG
0,M-1810,item:002612,0.04872,KG
0,M-1810,item:016332,0.011693,KG
0,M-1810,item:029313,0.000974,KG
0,M-1810,item:039668,0.000974,KG
0,M-1810,item:049371,0.036053,KG
0,M-1810,item:055703,0.001949,KG
0,M-1810,item:099439,0.04872,KG
0,M-1810,item:338928,24.0,UN
0,M-1810,item:338929,24.0,UN
0,M-1810,item:426331,0.264,UN
0,M-1810,item:693055,9.744,G
0,M-1810,item:693710,77.952,G
1,M-1430,item:038005,0.371857,KG
1,M-1430,item:042342,0.0,UN
1,M-1430,item:333362,21.25,UN
1,M-1430,item:344135,21.25,UN
1,M-1430,item:708073,0.168512,KG
1,M-1430,item:730384,4.505,M
1,M-1430,item:734545,0.17,UN
1,M-1430,item:773474,0.0,G
1,M-1810,item:001757,0.036378,KG
1,M-1810,item:001848,0.027283,KG
1,M-1810,item:001893,0.172794,KG
1,M-1810,item:002612,0.045472,KG
1,M-1810,item:016332,0.010913,KG
1,M-1810,item:029313,0.000909,KG
1,M-1810,item:039668,0.000909,KG
1,M-1810,item:049371,0.033649,KG
1,M-1810,item:055703,0.001819,KG
1,M-1810,item:099439,0.045472,KG
1,M-1810,item:338928,22.4,UN
1,M-1810,item:338929,22.4,UN
1,M-1810,item:426331,0.2464,UN
1,M-1810,item:693055,9.0944,G
1,M-1810,item:693710,72.7552,G
2,M-1430,item:038005,0.371857,KG
2,M-1430,item:042342,0.0,UN
2,M-1430,item:333362,21.25,UN
2,M-1430,item:344135,21.25,UN
2,M-1430,item:708073,0.168512,KG
2,M-1430,item:730384,4.505,M
2,M-1430,item:734545,0.17,UN
2,M-1430,item:773474,0.0,G
2,M-1810,item:001757,0.03326,KG
2,M-1810,item:001848,0.024945,KG
2,M-1810,item:001893,0.157983,KG
2,M-1810,item:002612,0.041574,KG
2,M-1810,item:016332,0.009978,KG
2,M-1810,item:029313,0.000831,KG
2,M-1810,item:039668,0.000831,KG
2,M-1810,item:049371,0.030765,KG
2,M-1810,item:055703,0.001663,KG
2,M-1810,item:099439,0.041574,KG
2,M-1810,item:338928,20.48,UN
2,M-1810,item:338929,20.48,UN
2,M-1810,item:426331,0.22528,UN
2,M-1810,item:693055,8.31488,G
2,M-1810,item:693710,66.51904,G
3,M-1430,item:038005,0.371857,KG
3,M-1430,item:042342,0.0,UN
3,M-1430,item:333362,21.25,UN
3,M-1430,item:344135,21.25,UN
3,M-1430,item:708073,0.168512,KG
3,M-1430,item:730384,4.505,M
3,M-1430,item:734545,0.17,UN
3,M-1430,item:773474,0.0,G
3,M-1810,item:001757,0.035234,KG
3,M-1810,item:001848,0.026426,KG
3,M-1810,item:001893,0.167363,KG
3,M-1810,item:002612,0.044043,KG
3,M-1810,item:016332,0.01057,KG
3,M-1810,item:029313,0.000881,KG
3,M-1810,item:039668,0.000881,KG
3,M-1810,item:049371,0.032592,KG
3,M-1810,item:055703,0.001762,KG
3,M-1810,item:099439,0.044043,KG
3,M-1810,item:338928,21.696,UN
3,M-1810,item:338929,21.696,UN
3,M-1810,item:426331,0.238656,UN
3,M-1810,item:693055,8.808576,G
3,M-1810,item:693710,70.468608,G
4,M-1430,item:038005,0.371857,KG
4,M-1430,item:042342,1026.84,UN
4,M-1430,item:333362,21.25,UN
4,M-1430,item:344135,21.25,UN
4,M-1430,item:708073,0.168513,KG
4,M-1430,item:730384,4.505,M
4,M-1430,item:734545,0.17,UN
4,M-1430,item:773474,13.09436,G
4,M-1810,item:001757,0.038228,KG
4,M-1810,item:001848,0.028671,KG
4,M-1810,item:001893,0.181581,KG
4,M-1810,item:002612,0.047785,KG
4,M-1810,item:016332,0.011468,KG
4,M-1810,item:029313,0.000956,KG
4,M-1810,item:039668,0.000956,KG
4,M-1810,item:049371,0.035361,KG
4,M-1810,item:055703,0.001911,KG
4,M-1810,item:099439,0.047785,KG
4,M-1810,item:338928,23.5392,UN
4,M-1810,item:338929,23.5392,UN
4,M-1810,item:426331,0.258931,UN
4,M-1810,item:693055,9.556915,G
4,M-1810,item:693710,76.455322,G
5,M-1430,item:038005,0.371857,KG
5,M-1430,item:042342,2309.1075,UN
5,M-1430,item:333362,21.25,UN
5,M-1430,item:344135,21.25,UN
