day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,1486.0002,536740.2664,21206.2141,6478.4194,9647.3501,0.0,0.0,0.0,882.4741
1,47.5,0.0,87.5,64.96,82.0,409.222,534685.4325,21137.6694,124.7969,160.8758,0.0,0.0,0.0,631.3636
2,52.5,0.0,140.0,114.704,93.2,425.4429,532519.4095,21065.611,147.3877,36.2674,0.0,0.0,0.0,421.8506
3,60.0,0.0,200.0,127.2,94.64,380.9349,530411.8177,20995.6303,133.5322,25.0246,0.0,0.0,0.0,264.2857
4,55.0,20.0,235.0,20.0,94.928,291.5865,528266.6596,20927.3917,86.5274,12.6455,0.0,0.0,0.0,150.3571
5,50.0,66.0,219.0,222.2,94.9856,351.6441,526217.7011,20859.7563,131.0484,12.2613,0.0,0.0,0.0,51.4286
6,45.0,50.0,214.0,192.2,91.223,244.1369,524405.5326,20798.9055,70.1683,7.6429,0.0,0.0,0.0,0.0
7,40.0,50.0,204.0,311.3824,86.2446,154.4888,522991.2754,20745.5417,41.7263,6.186,0.0,0.0,0.0,0.0
8,47.5,0.0,251.5,190.166,91.2489,215.8855,521254.4495,20685.6915,77.5379,7.363,0.0,0.0,0.0,0.0
9,52.5,0.0,304.0,50.0215,95.0,227.7299,519223.241,20620.9833,80.6042,7.9035,0.0,0.0,0.0,0.0
10,60.0,0.0,364.0,193.6837,95.0,290.2126,517273.2119,20556.2776,124.0734,8.5284,0.0,0.0,0.0,0.0
11,55.0,73.113,345.887,252.5459,82.5124,187.9494,516300.8379,20522.859,54.7941,6.1132,0.0,0.0,0.0,0.0
12,50.0,20.6226,375.2644,115.2836,74.6236,206.6724,515786.9815,20509.1998,68.998,5.4207,0.0,0.0,0.0,0.0
13,45.0,141.8601,278.4044,279.3101,68.113,168.8258,515691.9937,20508.5302,48.2825,4.3123,0.0,0.0,0.0,0.0
14,40.0,23.1245,295.2799,215.3964,65.6226,212.8011,515619.512,20508.074,85.3744,4.4693,0.0,0.0,0.0,0.0
15,47.5,25.0,317.7799,453.4688,72.7852,184.3169,515467.9643,20502.7135,58.3335,4.9883,0.0,0.0,0.0,0.0
16,52.5,0.0,370.2799,140.9149,74.6609,177.3335,515027.0452,20488.9705,48.5814,5.1314,0.0,0.0,0.0,0.0
17,60.0,104.6236,325.6562,284.7455,74.4745,179.6428,514636.305,20476.9912,50.2158,5.1337,0.0,0.0,0.0,0.0
18,55.0,23.113,357.5432,154.7935,74.6609,156.7109,514206.7732,20463.4603,34.2342,4.9252,0.0,0.0,0.0,0.0
19,50.0,56.2595,351.2837,136.0503,70.0,181.5551,514032.5623,20463.3869,52.2145,4.6539,0.0,0.0,0.0,0.0
20,45.0,0.0,396.2837,194.3152,68.113,173.4865,513989.779,20461.5608,51.5249,4.3589,0.0,0.0,0.0,0.0
21,40.0,4.6609,431.6228,199.7007,79.6053,206.7631,512929.9428,20424.8551,79.0852,5.9683,0.0,0.0,0.0,0.0
22,47.5,34.1354,444.9873,154.3334,72.7855,148.6918,512505.728,20411.2645,33.5491,4.6321,0.0,0.0,0.0,0.0
23,52.5,25.0,472.4873,253.9533,74.6594,198.4661,512131.8201,20397.5253,63.2835,5.3426,0.0,0.0,0.0,0.0
24,60.0,4.6606,527.8267,138.8464,70.0,172.5168,512021.0426,20396.7446,45.9265,4.5635,0.0,0.0,0.0,0.0
25,55.0,68.6437,514.183,263.1853,79.3144,184.6445,511294.9147,20371.3498,52.9725,5.7235,0.0,0.0,0.0,0.0
26,50.0,43.7356,520.4474,158.7799,74.6609,161.3704,510844.0872,20360.2118,37.4758,4.9718,0.0,0.0,0.0,0.0
27,45.0,23.1245,542.3229,255.2305,72.7739,223.6426,510456.8838,20347.8536,85.7223,5.3803,0.0,0.0,0.0,0.0
28,40.0,4.6594,577.6635,121.3793,65.6226,142.4919,510379.1593,20347.1876,36.4602,3.7663,0.0,0.0,0.0,0.0
29,47.5,75.0,550.1635,284.4347,77.4464,197.2442,509663.574,20321.9422,66.6307,5.6374,0.0,0.0,0.0,0.0
30,47.5,0.0,597.6635,152.7938,68.6249,155.3365,509595.0228,20320.0381,37.5623,4.2356,0.0,0.0,0.0,0.0
31,47.5,53.05,592.1134,191.8712,78.0468,204.2005,508799.0565,20294.7429,69.9035,5.7751,0.0,0.0,0.0,0.0
32,47.5,9.3219,630.2916,208.085,78.0669,156.1616,508110.9773,20270.7024,36.4306,5.297,0.0,0.0,0.0,0.0
33,47.5,0.0,677.7916,210.933,68.749,203.217,508052.1037,20268.7364,70.5489,4.7285,0.0,0.0,0.0,0.0
34,47.5,48.1245,677.1671,180.0576,73.4107,160.6872,507624.7013,20255.1082,40.2627,4.823,0.0,0.0,0.0,0.0
35,47.5,47.3499,677.3172,297.4753,78.0718,212.9987,506931.1241,20229.8054,75.9592,5.8659,0.0,0.0,0.0,0.0
36,47.5,18.6437,706.1734,24.095,68.75,151.2104,506718.7708,20227.8616,34.3653,4.2085,0.0,0.0,0.0,0.0
37,47.5,61.4768,692.1966,374.5834,82.7328,184.7497,505784.3687,20190.8708,55.6101,6.1032,0.0,0.0,0.0,0.0
38,47.5,0.0,739.6966,90.364,68.75,154.6087,505653.5297,20191.1096,37.5448,4.2425,0.0,0.0,0.0,0.0
39,47.5,23.75,763.4467,314.4853,78.0719,126.5428,505087.0182,20165.8024,65.621,5.0014,0.0,0.0,0.0,0.0
40,47.5,9.3219,801.6248,119.682,68.75,116.9095,505013.8746,20166.3445,60.3115,3.8655,0.0,0.0,0.0,0.0
41,47.5,47.5,801.6248,306.8983,87.3937,121.7483,503756.7106,20119.5258,60.8931,5.993,0.0,0.0,0.0,0.0
42,47.5,0.0,849.1248,94.8354,50.9844,74.927,503482.9654,20108.7692,41.8923,1.4193,0.0,0.0,0.0,0.0
43,47.5,47.4998,849.125,116.4929,49.6609,73.5667,503190.9345,20097.088,41.6237,1.2554,0.0,0.0,0.0,0.0
