day,node_id,item_id,shipped_to_node_qty,uom
0,M-1430,item:038005,0.349984,KG
0,M-1430,item:042342,180.0,UN
0,M-1430,item:333362,20.0,UN
0,M-1430,item:344135,20.0,UN
0,M-1430,item:708073,0.1586,KG
0,M-1430,item:730384,4.24,M
0,M-1430,item:734545,0.16,UN
0,M-1430,item:773474,180.0,G
0,M-1810,item:001757,0.03248,KG
0,M-1810,item:001848,0.02436,KG
0,M-1810,item:001893,0.15428,KG
0,M-1810,item:002612,0.0406,KG
0,M-1810,item:007923,64.96,G
0,M-1810,item:016332,0.009744,KG
0,M-1810,item:029313,0.000812,KG
0,M-1810,item:039668,0.000812,KG
0,M-1810,item:049371,0.030044,KG
0,M-1810,item:055703,0.001624,KG
0,M-1810,item:099439,0.0406,KG
0,M-1810,item:338928,20.0,UN
0,M-1810,item:338929,20.0,UN
0,M-1810,item:426331,0.22,UN
0,M-1810,item:693055,8.12,G
0,SDC-1450,item:021081,0.0,KG
1,M-1430,item:038005,0.402481,KG
1,M-1430,item:042342,0.0,UN
1,M-1430,item:333362,23.0,UN
1,M-1430,item:344135,23.0,UN
1,M-1430,item:708073,0.18239,KG
1,M-1430,item:730384,4.876,M
1,M-1430,item:734545,0.184,UN
1,M-1430,item:773474,36.0,G
1,M-1810,item:001757,0.03654,KG
1,M-1810,item:001848,0.027405,KG
1,M-1810,item:001893,0.173565,KG
1,M-1810,item:002612,0.045675,KG
1,M-1810,item:007923,73.08,G
1,M-1810,item:016332,0.010962,KG
1,M-1810,item:029313,0.000913,KG
1,M-1810,item:039668,0.000913,KG
1,M-1810,item:049371,0.0338,KG
1,M-1810,item:055703,0.001827,KG
1,M-1810,item:099439,0.045675,KG
1,M-1810,item:338928,22.5,UN
1,M-1810,item:338929,22.5,UN
1,M-1810,item:426331,0.2475,UN
1,M-1810,item:693055,9.135,G
1,SDC-1450,item:021081,0.32184,KG
2,M-1430,item:038005,0.437479,KG
2,M-1430,item:042342,0.0,UN
2,M-1430,item:333362,25.0,UN
2,M-1430,item:344135,25.0,UN
2,M-1430,item:708073,0.19825,KG
2,M-1430,item:730384,5.3,M
2,M-1430,item:734545,0.2,UN
2,M-1430,item:773474,43.2,G
2,M-1810,item:001757,0.03654,KG
2,M-1810,item:001848,0.027405,KG
2,M-1810,item:001893,0.173565,KG
2,M-1810,item:002612,0.045675,KG
2,M-1810,item:007923,73.08,G
2,M-1810,item:016332,0.010962,KG
2,M-1810,item:029313,0.000913,KG
2,M-1810,item:039668,0.000913,KG
2,M-1810,item:049371,0.0338,KG
2,M-1810,item:055703,0.001827,KG
2,M-1810,item:099439,0.045675,KG
2,M-1810,item:338928,22.5,UN
2,M-1810,item:338929,22.5,UN
2,M-1810,item:426331,0.2475,UN
2,M-1810,item:693055,9.135,G
2,SDC-1450,item:021081,0.386208,KG
3,M-1430,item:038005,0.437479,KG
3,M-1430,item:042342,0.0,UN
3,M-1430,item:333362,25.0,UN
3,M-1430,item:344135,25.0,UN
3,M-1430,item:708073,0.19825,KG
3,M-1430,item:730384,5.3,M
3,M-1430,item:734545,0.2,UN
3,M-1430,item:773474,44.64,G
3,M-1810,item:001757,0.03654,KG
3,M-1810,item:001848,0.027405,KG
3,M-1810,item:001893,0.173565,KG
3,M-1810,item:002612,0.045675,KG
3,M-1810,item:007923,73.08,G
3,M-1810,item:016332,0.010962,KG
3,M-1810,item:029313,0.000913,KG
3,M-1810,item:039668,0.000913,KG
3,M-1810,item:049371,0.0338,KG
3,M-1810,item:055703,0.001827,KG
3,M-1810,item:099439,0.045675,KG
3,M-1810,item:338928,22.5,UN
3,M-1810,item:338929,22.5,UN
3,M-1810,item:426331,0.2475,UN
3,M-1810,item:693055,9.135,G
3,SDC-1450,item:021081,0.399082,KG
4,M-1430,item:038005,0.437479,KG
4,M-1430,item:042342,1026.84,UN
4,M-1430,item:333362,25.0,UN
4,M-1430,item:344135,25.0,UN
4,M-1430,item:708073,0.19825,KG
4,M-1430,item:730384,5.3,M
4,M-1430,item:734545,0.2,UN
4,M-1430,item:773474,44.928,G
4,M-1810,item:001757,0.03654,KG
4,M-1810,item:001848,0.027405,KG
4,M-1810,item:001893,0.173565,KG
4,M-1810,item:002612,0.045675,KG
4,M-1810,item:007923,73.08,G
4,M-1810,item:016332,0.010962,KG
4,M-1810,item:029313,0.000913,KG
4,M-1810,item:039668,0.000913,KG
4,M-1810,item:049371,0.0338,KG
4,M-1810,item:055703,0.001827,KG
4,M-1810,item:099439,0.045675,KG
4,M-1810,item:338928,22.5,UN
4,M-1810,item:338929,22.5,UN
4,M-1810,item:426331,0.2475,UN
4,M-1810,item:693055,9.135,G
