day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty
0,44.0,44.0,0.0,0.0,44.0,585.271,37031.8896,1180.145,61.5312,44.949,1039.9344,0.0,0.0
1,44.0,44.0,0.0,77.952,44.0,219.7729,35202.3668,1118.7239,109.8942,71.412,2551.8635,0.0,0.0
2,44.0,44.0,0.0,0.0,44.0,213.1751,33173.6938,1052.6317,146.1142,89.4803,3465.8152,0.0,732.371
3,48.0,48.0,0.0,143.5161,46.696,226.1034,31160.4771,982.5186,147.9266,91.3919,3499.8359,0.0,2448.2683
4,52.0,52.0,0.0,91.7388,48.5392,1298.3536,29050.538,914.6402,182.3175,102.9441,3499.8359,1039.9344,3158.2519
5,56.0,56.0,0.0,337.1491,50.0,2838.8394,27146.6132,845.4202,232.1136,119.0065,3499.8359,2551.8635,2356.3064
6,56.0,56.0,0.0,326.5936,50.0,3777.6952,25207.229,781.7354,262.7945,128.395,3499.8359,3465.8152,640.4091
7,56.0,56.0,0.0,292.9172,50.0,3732.2454,23313.6389,716.0587,217.5401,111.3697,2418.1601,3499.8359,6.6373
8,52.0,52.0,0.0,254.6519,49.492,3642.1908,21512.0289,657.1671,147.1994,96.6199,738.3053,3499.8359,0.0
9,48.0,48.0,0.0,119.5009,47.4984,2393.4989,20969.9882,650.5702,87.324,93.3051,200.0,3499.8359,28.4512
10,44.0,44.0,0.0,310.7046,44.9917,1625.4611,21535.9606,669.5128,61.1692,85.3445,200.0,3499.8359,118.4346
11,44.0,21.096,22.904,83.9796,44.1983,1710.7527,20654.9693,638.297,64.0026,91.1687,200.0,2418.1601,172.3608
12,44.0,0.0,66.904,241.4837,44.0397,1956.4684,17905.276,538.8086,71.9401,108.4808,200.0,738.3053,126.9858
13,48.0,69.48,45.424,6487.7095,46.6999,2107.6477,20533.2099,629.0066,76.2783,120.3713,200.0,200.0,20.3856
14,52.0,28.0,69.424,1329.64,48.54,1756.4587,18387.1289,563.0715,78.9827,98.9537,523.8694,200.0,0.0
15,56.0,75.5512,49.8728,5367.8882,50.0,486.7387,21494.6293,689.5649,99.2306,87.1301,2060.2286,200.0,0.0
16,56.0,49.8848,55.988,371.297,50.0,315.1375,19802.806,629.6546,147.2008,94.2121,3386.2771,200.0,406.4038
17,56.0,25.1152,86.8728,1624.5284,50.0,339.1793,19364.942,622.7858,153.2052,94.0099,3499.8359,200.0,2042.763
18,52.0,119.9917,18.8811,3969.2733,49.492,764.7361,21111.4499,685.2471,167.2066,98.1278,3502.4731,523.8694,3350.719
19,48.0,42.0997,24.7814,1980.8518,47.4984,2320.1725,21070.3795,686.3074,216.1341,113.1381,3512.6231,2060.2286,2882.7702
20,44.0,25.0,43.7814,920.028,44.9917,3656.5135,20120.064,631.4997,259.3512,125.6742,3520.1359,3386.2771,933.8343
21,44.0,74.5883,13.1932,326.1107,44.1983,3681.561,18538.579,579.6385,219.7706,113.8364,2516.3315,3499.8359,20.7567
22,44.0,57.1932,0.0,3984.1174,44.0397,3643.9343,20551.028,671.9521,148.4,99.6962,761.4882,3502.4731,17.251
23,48.0,42.8068,5.1932,349.7462,46.6999,2509.8384,19978.1044,661.8085,90.8116,94.7807,220.3,3512.6231,49.6484
24,52.0,50.4984,6.6948,724.5622,48.54,1973.9956,20307.046,678.6421,74.0659,89.6302,220.3,3520.1359,135.9856
25,56.0,30.0,32.6948,226.8013,50.0,2005.3427,19116.7382,634.8696,74.2715,98.3916,212.6812,2516.3315,178.5592
26,56.0,67.0368,21.658,478.2879,50.0,2096.4624,16294.9173,528.0002,76.5533,112.2075,202.5312,761.4882,135.5846
27,56.0,11.2956,66.3624,2554.2315,50.0,2167.1672,14992.8881,483.8027,78.9715,121.3393,200.0,220.3,35.5846
28,52.0,67.1996,51.1628,3212.1329,49.492,1058.861,15437.3534,523.7242,81.7277,109.1037,1162.6147,220.3,0.0
29,48.0,45.2399,53.9228,3278.3222,47.4984,373.5089,16789.7294,542.8012,118.0379,99.9906,2627.5211,212.6812,0.0
