supplier_id,supplier_name,item_id,dst_node_id,edge_id,uom,input_initial_stock_qty,simulated_opening_stock_qty,base_stock_qty,min_stock_end_of_day,avg_stock_end_of_day,final_stock_end_of_day,neutral_opening_stock_floor_qty,neutral_opening_stock_reducible_qty,neutral_opening_stock_scale,nominal_capacity_qty_per_day,effective_capacity_qty_per_day,capacity_basis,applied_capacity_scale,explicit_capacity_qty_per_day,process_capacity_qty_per_day,downstream_requirement_qty_per_day,downstream_signal_qty_per_day,avg_capacity_utilization,max_capacity_utilization,capacity_active_days,max_capacity_used_qty_per_day,neutral_capacity_floor_qty_per_day,industrial_capacity_target_utilization,industrial_capacity_profile,industrial_nominal_capacity_qty_per_day,industrial_peak_utilization_if_nominal,current_capacity_headroom_vs_industrial_nominal,tested_capacity_floor_qty_per_day,tested_capacity_floor_factor,neutral_capacity_scale_if_nominal,current_capacity_headroom_factor,current_capacity_headroom_vs_tested_floor,capacity_floor_basis,planned_lead_time_days,lead_time_type,lead_time_stages,lead_time_source,lead_time_is_default,lead_reference_days,lead_cover_days,delay_step_limit,nominal_reliability_otif,reliability_source,standard_order_qty,standard_order_uom,mrp_share,mrp_rank,unit_purchase_cost,unit_transport_cost,total_shipped_qty,total_pulled_qty,shipment_rows,first_shipment_day,last_shipment_day
SDC-VD0500655A,Supplier of Raw Materials - VD0500655A,item:002612,M-1810,edge:SDC-VD0500655A_TO_M-1810_002612,KG,45.0,21600.0,21600.0,0.0,40843.680736,41711.616,21600.0,0.0,1.0,635.294118,203294.117647,downstream_requirement+fia_hint,320.0,0.0,0.0,413.2065,29.232,5.8e-05,0.10625,1,21600.0,21600.0,0.7,raw_material_qualified_pharma,30857.142857,0.7,6.588235,54000.0,2.5,1.0,9.411765,3.764706,max_daily_pulled_qty_observed_x2.5_tested,28.0,erlang_pipeline,4,case_data_fia,False,28,34,56,1.0,service_level.otif,21600.0,KG,0.05,4,1.34,0.21034,21600.0,21600.0,1,3,3
SDC-VD0505677A,Supplier of Raw Materials - VD0505677A,item:099439,M-1810,edge:SDC-VD0505677A_TO_M-1810_099439,KG,45.0,11569.782,11569.782,554.673,17101.207982,17354.673,11015.109,554.673,0.952058,516.508125,165282.6,downstream_requirement,320.0,0.0,0.0,413.2065,29.232,0.000139,0.025411,10,4200.0,4200.0,0.7,raw_material_qualified_pharma,6000.0,0.7,27.5471,10500.0,2.5,1.0,39.353,15.7412,max_daily_pulled_qty_observed_x2.5_tested,35.0,erlang_pipeline,4,case_data_fia,False,35,42,70,1.0,service_level.otif,4200.0,KG,1.0,1,9.17,0.17246,42000.0,42000.0,10,0,1445
SDC-VD0508918A,Supplier of Packaging - VD0508918A,item:730384,M-1430,edge:SDC-VD0508918A_TO_M-1430_730384,M,45.0,914144.0,914144.0,174144.0,12946699.490959,12851547.4,740000.0,174144.0,0.8095,40810.0,13059200.0,downstream_requirement,320.0,0.0,0.0,32648.0,22853.6,0.000155,0.084998,7,1110000.0,1110000.0,0.75,packaging_qualified_pharma,1480000.0,0.75,8.823784,2775000.0,2.5,1.0,11.765045,4.706018,max_daily_pulled_qty_observed_x2.5_tested,56.0,erlang_pipeline,4,case_data_fia,False,56,68,112,1.0,service_level.otif,370000.0,M,1.0,1,0.01,0.04032,3700000.0,3700000.0,10,0,1630
SDC-VD0514881A,Supplier of Raw Materials - VD0514881A,item:016332,M-1810,edge:SDC-VD0514881A_TO_M-1810_016332,KG,45.0,2776.74768,2776.74768,53.49536,7283.241272,390.81344,2723.25232,53.49536,0.980735,123.96195,39667.824,downstream_requirement,320.0,0.0,0.0,99.16956,7.01568,0.000228,0.02773,15,1100.0,1100.0,0.7,raw_material_qualified_pharma,1571.428571,0.7,25.243161,2750.0,2.5,1.0,36.061658,14.424663,max_daily_pulled_qty_observed_x2.5_tested,49.0,erlang_pipeline,4,case_data_fia,False,49,59,98,1.0,service_level.otif,1100.0,KG,1.0,1,27.62,0.37312,16500.0,16500.0,15,0,1796
SDC-VD0518684A,Supplier of Raw Materials - VD0518684A,item:001893,M-1810,edge:SDC-VD0518684A_TO_M-1810_001893,KG,45.0,22800.0,22800.0,0.0,81471.588119,58466.1027,22800.0,0.0,1.0,1962.730875,628073.88,downstream_requirement,320.0,0.0,0.0,1570.1847,111.0816,6e-05,0.036301,3,22800.0,22800.0,0.7,raw_material_qualified_pharma,32571.428571,0.7,19.28297,57000.0,2.5,1.0,27.5471,11.01884,max_daily_pulled_qty_observed_x2.5_tested,56.0,erlang_pipeline,4,case_data_fia,False,56,68,112,1.0,service_level.otif,22800.0,KG,0.1,3,4.4,0.26998,68400.0,68400.0,3,2,1079
SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,item:001848,M-1810,edge:SDC-VD0519670A_TO_M-1810_001848,KG,45.0,4000.0,4000.0,0.0,8855.695725,4000.0,4000.0,0.0,1.0,309.904875,99169.56,downstream_requirement+fia_hint,320.0,0.0,0.0,247.9239,17.5392,6.6e-05,0.040335,3,4000.0,4000.0,0.7,raw_material_qualified_pharma,5714.285714,0.7,17.354673,10000.0,2.5,1.0,24.79239,9.916956,max_daily_pulled_qty_observed_x2.5_tested,21.0,erlang_pipeline,4,case_data_fia,False,21,26,42,1.0,service_level.otif,4000.0,KG,0.7,1,4.2,0.03094,12000.0,12000.0,3,0,1522
SDC-VD0519670A,Supplier of Raw Materials - VD0519670A,item:029313,M-1810,edge:SDC-VD0519670A_TO_M-1810_029313,KG,45.0,300.0,300.0,0.0,798.635196,520.64019,300.0,0.0,1.0,10.330163,3305.652,downstream_requirement+fia_hint,320.0,0.0,0.0,8.26413,0.58464,0.000199,0.090754,4,300.0,300.0,0.7,raw_material_qualified_pharma,428.571429,0.7,7.713188,750.0,2.5,1.0,11.01884,4.407536,max_daily_pulled_qty_observed_x2.5_tested,56.0,erlang_pipeline,4,case_data_fia,False,56,68,112,1.0,service_level.otif,300.0,KG,1.0,1,2.07,0.03094,1200.0,1200.0,4,0,937
SDC-VD0520115A,Supplier of Packaging - VD0520115A,item:708073,M-1430,edge:SDC-VD0520115A_TO_M-1430_708073,KG,45.0,29309.28,29309.28,4309.28,41057.146159,37742.7,25000.0,4309.28,0.852972,1526.525,488488.0,downstream_requirement,320.0,0.0,0.0,1221.22,854.854,0.000107,0.051178,15,25000.0,25000.0,0.75,packaging_qualified_pharma,33333.333333,0.75,14.65464,62500.0,2.5,1.0,19.53952,7.815808,max_daily_pulled_qty_observed_x2.5_tested,28.0,erlang_pipeline,4,case_data_fia,False,28,34,56,1.0,service_level.otif,5000.0,KG,1.0,1,3.59,0.1134,95000.0,95000.0,19,0,1807
SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,item:038005,M-1430,edge:SDC-VD0520132A_TO_M-1430_038005,KG,45.0,75456.446912,75456.446912,5456.446912,391739.561023,433874.569744,70000.0,5456.446912,0.927687,3368.59138,1077949.2416,downstream_requirement,320.0,0.0,0.0,2694.873104,1886.411173,7.1e-05,0.009277,14,10000.0,10000.0,0.65,raw_material_high_lead_qualified,15384.615385,0.65,70.066701,25000.0,2.5,1.0,107.794924,43.11797,max_daily_pulled_qty_observed_x2.5_tested,154.0,erlang_pipeline,4,case_data_fia,False,154,185,308,1.0,service_level.otif,10000.0,KG,1.0,1,4.57,0.03992,230000.0,230000.0,23,-140,1629
SDC-VD0520132A,Supplier of Raw Materials - VD0520132A,item:049371,M-1810,edge:SDC-VD0520132A_TO_M-1810_049371,KG,45.0,8561.63868,8561.63868,561.63868,43336.944802,47089.01274,8000.0,561.63868,0.934401,382.216012,122309.124,downstream_requirement,320.0,0.0,0.0,305.77281,21.63168,3.6e-05,0.013082,5,1600.0,1600.0,0.65,raw_material_high_lead_qualified,2461.538462,0.65,49.688082,4000.0,2.5,1.0,76.443202,30.577281,max_daily_pulled_qty_observed_x2.5_tested,147.0,erlang_pipeline,4,case_data_fia,False,147,177,294,1.0,service_level.otif,1600.0,KG,1.0,1,14.65,0.13626,8000.0,8000.0,5,0,4
