day,M-1430 | item:038005,M-1430 | item:042342,M-1430 | item:333362,M-1430 | item:344135,M-1430 | item:708073,M-1430 | item:730384,M-1430 | item:734545,M-1430 | item:773474,M-1810 | item:001757,M-1810 | item:001848,M-1810 | item:001893,M-1810 | item:002612,M-1810 | item:007923,M-1810 | item:016332,M-1810 | item:029313,M-1810 | item:039668,M-1810 | item:049371,M-1810 | item:055703,M-1810 | item:099439,M-1810 | item:338928,M-1810 | item:338929,M-1810 | item:426331,M-1810 | item:693055,SDC-1450 | item:021081
0,123.456687,59135.16,2755.0,1605.0,10.34865,546.96,7.84,4634.26464,6.26052,3.14244,19.90212,3.25815,635.04,1.098636,0.104748,0.065163,10.109806,0.156716,3.25815,3205.0,1930.0,14.355,1301.23,983400.0
1,123.054206,57747.294,2732.0,1582.0,10.16626,542.084,7.656,4412.206126,6.223168,3.114426,19.724698,3.21146,560.336,1.08743,0.103814,0.064229,10.075255,0.154848,3.21146,3182.0,1907.0,14.102,1291.892,983399.640362
2,122.616726,56238.744,2707.0,1557.0,9.96801,536.784,7.456,4170.838176,6.182568,3.083976,19.531848,3.16071,618.8,1.07525,0.102799,0.063214,10.0377,0.152818,3.16071,3157.0,1882.0,13.827,1281.742,983398.86714
3,122.179247,54730.194,2682.0,1532.0,9.76976,531.484,7.256,3929.470226,6.141968,3.053526,19.338998,3.10996,618.8,1.06307,0.101784,0.062199,10.000145,0.150788,3.10996,3132.0,1857.0,13.552,1271.592,983397.716297
4,121.741767,53221.644,2657.0,1507.0,9.57151,526.184,7.056,3688.102276,6.101368,3.023076,19.146148,3.05921,618.8,1.05089,0.100769,0.061184,9.96259,0.148758,3.05921,3107.0,1832.0,13.277,1261.442,983396.270551
5,121.304288,51713.094,2632.0,1482.0,9.37326,520.884,6.856,3668.79284,6.060768,2.992626,18.953298,3.00846,537.6,1.03871,0.099754,0.060169,9.925035,0.146728,3.00846,3082.0,1807.0,13.002,1251.292,983394.605426
6,120.89983,50318.411768,2608.88704,1458.88704,9.189974,515.984052,6.671096,3445.643729,6.023233,2.985789,18.775005,2.961541,624.929106,1.02745,0.098816,0.059231,9.890315,0.144852,2.961541,3058.88704,1783.88704,12.747757,1241.908138,983392.779903
7,120.538952,49074.003321,2588.264448,1438.264448,9.026437,511.612063,6.506116,3439.632779,5.989741,2.960671,18.615922,2.919677,633.017821,1.017402,0.097979,0.058394,9.859336,0.143177,2.919677,3038.264448,1763.264448,12.520909,1233.535366,983390.871789
8,120.134292,47678.623632,2565.13993,1415.13993,8.84306,506.709665,6.321119,3216.372075,5.952187,2.932505,18.437539,2.882884,557.909385,1.006136,0.09704,0.057455,9.824598,0.141299,2.872734,3015.13993,1740.13993,12.266539,1224.146811,983388.957946
9,119.696812,46170.073632,2540.13993,1390.13993,8.64481,501.409665,6.121119,2975.004125,5.911587,2.902055,18.244689,2.832134,618.8,0.993956,0.096025,0.05644,9.787043,0.139269,2.821984,2990.13993,1715.13993,11.991539,1213.996811,983387.009903
10,119.259333,44661.523632,2515.13993,1365.13993,8.44656,496.109665,5.921119,2733.636175,5.870987,2.871605,18.051839,2.781384,537.6,0.981776,0.09501,0.055425,9.749488,0.137239,2.771234,2965.13993,1690.13993,11.716539,1203.846811,983384.99508
11,118.821854,43152.973632,2490.13993,1340.13993,8.24831,490.809665,5.721119,2492.268225,5.830387,2.841155,17.858989,2.730634,537.6,0.969596,0.093995,0.05441,9.711933,0.135209,2.720484,2940.13993,1665.13993,11.441539,1193.696811,983382.920319
12,118.384374,41644.423632,2465.13993,1315.13993,8.05006,485.509665,5.521119,2250.900275,5.789787,2.810705,17.666139,2.679884,618.8,0.957416,0.09298,0.053395,9.674378,0.133179,2.669734,2915.13993,1640.13993,11.166539,1183.546811,983380.798974
13,117.979916,40249.738995,2442.02693,1292.02693,7.866774,480.609709,5.336215,2269.118729,5.752252,2.803869,17.487846,2.632965,624.928977,0.946156,0.092041,0.052456,9.639658,0.131303,2.622815,2892.02693,1617.02693,10.912296,1174.162933,983378.643034
14,117.619037,39005.330068,2421.40433,1292.56433,7.703236,476.237718,5.171235,2070.013342,5.718761,2.77875,17.452958,2.591101,557.946772,0.936108,0.092138,0.051619,9.608679,0.129628,2.580951,2871.40433,1596.40433,10.685448,1165.790158,983376.495746
15,117.214377,37774.110282,2398.27981,1269.43981,7.519859,475.57532,4.986238,1846.752623,5.681206,2.7719,17.274576,2.544158,557.909354,0.924842,0.091199,0.05068,9.573941,0.130202,2.580698,2848.27981,1573.27981,10.431078,1156.401603,983374.408813
16,116.776898,36265.560282,2373.27981,1244.43981,7.321609,470.27532,4.786238,1846.752623,5.640606,2.74145,17.081726,2.528933,618.8,0.912662,0.090184,0.049665,9.536386,0.129485,2.529948,2823.27981,1548.27981,10.156078,1146.251603,983372.335515
17,116.339418,34757.010282,2348.27981,1219.43981,7.321609,464.97532,4.771142,1846.752623,5.637358,2.728052,16.888876,2.478183,537.6,0.900482,0.089169,0.04865,9.498831,0.128064,2.529948,2798.27981,1523.27981,10.107926,1136.101603,983370.230055
18,115.901939,33248.460282,2323.27981,1194.43981,7.281959,459.67532,4.571142,2226.744481,5.596758,2.738623,16.696026,2.432001,537.6,0.888302,0.088154,0.04865,9.461276,0.126034,2.479198,2773.27981,1498.27981,10.107926,1125.951603,983368.089707
19,115.46446,31739.910282,2298.27981,1169.43981,7.247246,454.37532,4.571142,2226.744481,5.556158,2.729488,16.503176,2.383598,618.8,0.876122,0.087139,0.047635,9.423721,0.127158,2.428448,2748.27981,1498.27981,9.832926,1115.801603,983365.920903
20,115.060001,30345.225646,2275.16681,1176.32681,7.06396,449.475364,4.386238,2003.594985,5.518623,2.701336,16.324882,2.339024,624.928976,0.874605,0.086201,0.046697,9.389001,0.125281,2.422129,2725.16681,1475.16681,9.578683,1106.417725,983363.730621
21,114.699123,29100.816718,2254.54421,1155.70421,6.900423,445.103373,4.421257,2269.007044,5.485132,2.676218,16.300794,2.29716,633.017795,0.864558,0.085363,0.045859,9.358021,0.125027,2.422129,2704.54421,1454.54421,9.604835,1098.044949,983361.558484
22,114.294463,27705.436933,2231.41969,1132.57969,6.717045,440.200974,4.236261,2269.007044,5.447578,2.648052,16.160982,2.272289,557.909354,0.853292,0.084424,0.044921,9.323284,0.12315,2.375186,2681.41969,1431.41969,9.350465,1088.656394,983359.453569
23,113.856983,26196.886933,2206.41969,1107.57969,6.518795,434.900974,4.036261,2269.007044,5.406978,2.617602,16.103127,2.221539,618.8,0.841112,0.083409,0.043906,9.285729,0.122541,2.324436,2656.41969,1406.41969,9.350465,1078.506394,983357.367259
24,113.419504,24688.336933,2181.41969,1107.57969,6.320545,429.600974,3.836261,2269.007044,5.366378,2.59446,16.146503,2.170789,618.8,0.828932,0.082394,0.042891,9.248174,0.120511,2.273686,2631.41969,1381.41969,9.075465,1068.356394,983355.252384
25,112.982024,24174.193333,2156.41969,1082.57969,6.304685,424.300974,3.636261,2733.635698,5.325778,2.56401,15.953653,2.122576,537.6,0.816752,0.083206,0.041876,9.210619,0.119902,2.222936,2606.41969,1356.41969,8.800465,1058.206394,983353.105223
26,112.544545,22665.643333,2131.41969,1057.57969,6.473099,419.000974,3.436261,2492.267748,5.285178,2.574591,15.760803,2.071826,618.8,0.804572,0.082191,0.040861,9.173064,0.117872,2.172186,2581.41969,1331.41969,8.800465,1048.056394,983350.931489
27,112.140087,22900.192696,2108.30669,1034.46669,6.289813,424.277018,3.411357,2510.486202,5.247642,2.585872,15.582509,2.036338,624.928976,0.793311,0.081253,0.039922,9.138343,0.117416,2.226766,2558.30669,1308.30669,8.546222,1038.672516,983348.73764
28,111.779208,23285.017769,2087.68409,1013.84409,6.309653,419.905027,3.246376,3017.266211,5.214151,2.560753,15.558421,2.077768,557.946772,0.795444,0.080416,0.040023,9.107364,0.115741,2.184903,2537.68409,1287.68409,8.319374,1030.299741,983346.654198
29,111.374548,21889.637983,2064.55957,990.71957,6.324526,415.002629,3.46138,3035.373441,5.176597,2.532588,15.418609,2.066206,557.909354,0.795444,0.079477,0.039085,9.072626,0.113864,2.13796,2515.588012,1290.954389,8.340004,1020.911185,983344.547415
30,110.961132,22093.298026,2040.934666,967.094666,6.300717,409.994149,3.272381,2807.281655,5.13823,2.544737,15.236366,2.064239,548.157871,0.783934,0.078518,0.03914,9.037137,0.111945,2.090001,2491.963108,1267.329485,8.08013,1011.319474,983342.459754
31,110.545964,22290.919235,2017.209685,943.369685,6.112578,404.964453,3.247562,3260.064943,5.099701,2.537155,15.053352,2.051603,622.941262,0.772375,0.077555,0.038177,9.001497,0.11347,2.04184,2468.238127,1243.604504,7.819155,1001.687132,983340.368627
32,110.130446,24116.566677,1993.464689,964.624689,6.12253,399.930514,3.057602,3030.813701,5.061139,2.529549,15.005178,2.016848,545.817515,0.760806,0.07659,0.03805,8.965828,0.112963,1.993637,2444.493131,1219.859508,7.55796,992.046664,983338.268413
33,109.714858,24312.738565,1969.71569,940.87569,5.934201,394.895726,2.86761,2801.523811,5.02257,2.521938,14.821978,1.981325,545.739503,0.749236,0.076641,0.037086,8.930152,0.111643,1.945427,2445.744132,1196.110508,7.551091,982.40457,983336.159443
34,109.299256,22879.628143,1945.96589,947.12589,5.929151,389.860769,3.077612,2572.226191,4.984001,2.49301,14.638772,1.940281,622.86065,0.737665,0.075677,0.036122,8.894475,0.111136,1.897215,2421.994332,1210.760709,7.791692,972.762151,983334.043464
35,108.883652,21446.508058,1922.21593,923.37593,5.939064,384.825777,2.887612,2342.927025,4.945431,2.485398,14.51342,1.930131,622.86013,0.726094,0.074713,0.035158,8.858798,0.109207,1.895945,2398.244372,1208.170749,7.805442,963.119668,983331.922212
36,108.468046,21642.620041,1923.465938,899.625938,5.750726,379.790779,3.081612,2584.053499,4.906861,2.45647,14.642131,1.886994,622.860026,0.714523,0.073749,0.034193,8.823121,0.1087,1.847732,2374.49438,1222.820757,8.307047,953.477171,983329.797086
37,108.052441,20209.497638,1899.71594,905.87594,5.760639,374.755779,3.816408,2354.753962,4.868291,2.496891,14.583792,1.878747,622.860005,0.702952,0.072784,0.033229,8.787443,0.106771,1.79952,2350.744381,1199.070758,8.595797,943.834672,983328.002165
38,107.636836,20405.609157,1875.96594,882.12594,5.755679,369.720779,4.026408,3006.361651,4.829721,2.485546,14.609808,1.833072,578.737373,0.691381,0.07182,0.032265,8.751766,0.107233,1.899727,2346.994382,1175.320759,9.13879,934.192172,983325.872174
39,107.22123,22230.954661,1873.88847,858.37594,5.567341,364.685779,4.211204,3000.211595,4.791151,2.465753,14.481078,1.797547,501.597374,0.69132,0.070856,0.031301,8.716089,0.110633,1.851514,2323.244382,1189.970759,8.87754,924.549672,983323.740702
40,106.805625,22427.066162,1850.13847,834.62594,5.577254,359.650779,4.386185,2770.912043,4.752581,2.466545,14.560132,1.751681,424.457374,0.691015,0.069892,0.031351,8.680412,0.108704,1.803302,2324.494382,1191.220759,8.61629,925.057172,983321.608158
41,106.390019,22623.177662,1851.38847,833.87594,5.552453,354.615779,4.361166,2541.61249,4.714011,2.437618,14.470264,1.703469,347.317374,0.691624,0.069942,0.032417,8.644734,0.107948,1.755089,2300.744382,1167.470759,8.35504,915.414672,983319.474837
