day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,20.0,20.0,0.0,20.0,0.0
0,C-XXXXX,item:268091,20.0,20.0,0.0,20.0,0.0
1,C-XXXXX,item:268967,23.75,43.75,0.0,43.75,0.0
1,C-XXXXX,item:268091,23.75,43.75,0.0,43.75,0.0
2,C-XXXXX,item:268967,26.25,70.0,0.0,70.0,0.0
2,C-XXXXX,item:268091,26.25,70.0,0.0,70.0,0.0
3,C-XXXXX,item:268967,30.0,100.0,0.0,100.0,0.0
3,C-XXXXX,item:268091,30.0,100.0,0.0,100.0,0.0
4,C-XXXXX,item:268967,27.5,127.5,0.0,127.5,0.0
4,C-XXXXX,item:268091,27.5,127.5,18.432,109.068,18.432
5,C-XXXXX,item:268967,25.0,152.5,39.6288,112.8712,39.6288
5,C-XXXXX,item:268091,25.0,134.068,21.1968,112.8712,21.1968
6,C-XXXXX,item:268967,22.5,135.3712,46.08,89.2912,46.08
6,C-XXXXX,item:268091,22.5,135.3712,0.0,135.3712,0.0
7,C-XXXXX,item:268967,20.0,109.2912,0.0,109.2912,0.0
7,C-XXXXX,item:268091,20.0,155.3712,46.08,109.2912,46.08
8,C-XXXXX,item:268967,23.75,133.0412,0.0,133.0412,0.0
8,C-XXXXX,item:268091,23.75,133.0412,0.0,133.0412,0.0
9,C-XXXXX,item:268967,26.25,159.2912,0.0,159.2912,0.0
9,C-XXXXX,item:268091,26.25,159.2912,0.0,159.2912,0.0
10,C-XXXXX,item:268967,30.0,189.2912,0.0,189.2912,0.0
10,C-XXXXX,item:268091,30.0,189.2912,0.0,189.2912,0.0
11,C-XXXXX,item:268967,27.5,216.7912,23.04,193.7512,23.04
11,C-XXXXX,item:268091,27.5,216.7912,44.340904,172.450296,44.340904
12,C-XXXXX,item:268967,25.0,218.7512,0.0,218.7512,0.0
12,C-XXXXX,item:268091,25.0,197.450296,19.005781,178.444515,19.005781
13,C-XXXXX,item:268967,22.5,241.2512,107.698241,133.552959,107.698241
