day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,20.0,20.0,0.0,20.0,0.0
0,C-XXXXX,item:268091,20.0,20.0,0.0,20.0,0.0
1,C-XXXXX,item:268967,23.75,43.75,0.0,43.75,0.0
1,C-XXXXX,item:268091,23.75,43.75,0.0,43.75,0.0
2,C-XXXXX,item:268967,26.25,70.0,0.0,70.0,0.0
2,C-XXXXX,item:268091,26.25,70.0,0.0,70.0,0.0
3,C-XXXXX,item:268967,30.0,100.0,0.0,100.0,0.0
3,C-XXXXX,item:268091,30.0,100.0,0.0,100.0,0.0
4,C-XXXXX,item:268967,27.5,127.5,43.0,84.5,43.0
4,C-XXXXX,item:268091,27.5,127.5,0.0,127.5,0.0
5,C-XXXXX,item:268967,25.0,109.5,0.0,109.5,0.0
5,C-XXXXX,item:268091,25.0,152.5,0.0,152.5,0.0
6,C-XXXXX,item:268967,22.5,132.0,0.0,132.0,0.0
6,C-XXXXX,item:268091,22.5,175.0,45.0,130.0,45.0
7,C-XXXXX,item:268967,20.0,152.0,75.0,77.0,75.0
7,C-XXXXX,item:268091,20.0,150.0,0.0,150.0,0.0
8,C-XXXXX,item:268967,23.75,100.75,0.0,100.75,0.0
8,C-XXXXX,item:268091,23.75,173.75,0.0,173.75,0.0
9,C-XXXXX,item:268967,26.25,127.0,0.0,127.0,0.0
9,C-XXXXX,item:268091,26.25,200.0,48.0,152.0,48.0
10,C-XXXXX,item:268967,30.0,157.0,25.0,132.0,25.0
10,C-XXXXX,item:268091,30.0,182.0,25.0,157.0,25.0
11,C-XXXXX,item:268967,27.5,159.5,0.0,159.5,0.0
11,C-XXXXX,item:268091,27.5,184.5,0.0,184.5,0.0
12,C-XXXXX,item:268967,25.0,184.5,0.0,184.5,0.0
12,C-XXXXX,item:268091,25.0,209.5,66.51296,142.98704,66.51296
13,C-XXXXX,item:268967,22.5,207.0,0.0,207.0,0.0
13,C-XXXXX,item:268091,22.5,165.48704,50.0,115.48704,50.0
