day,node_id,item_id,stock_end_of_day
0,DC-1920,item:268091,358984.2
0,DC-1920,item:268967,952937.742855
1,DC-1920,item:268091,350221.240816
1,DC-1920,item:268967,942459.477548
2,DC-1920,item:268091,341000.751019
2,DC-1920,item:268967,931453.518364
3,DC-1920,item:268091,331322.73061
3,DC-1920,item:268967,919919.865303
4,DC-1920,item:268091,321187.179589
4,DC-1920,item:268967,907858.518363
5,DC-1920,item:268091,310594.097956
5,DC-1920,item:268967,895269.477546
6,DC-1920,item:268091,299543.48571
6,DC-1920,item:268967,882152.742852
7,DC-1920,item:268091,288035.342852
7,DC-1920,item:268967,868508.31428
8,DC-1920,item:268091,278083.03673
8,DC-1920,item:268967,866723.436729
9,DC-1920,item:268091,267807.424485
9,DC-1920,item:268967,865236.681627
10,DC-1920,item:268091,257208.506117
10,DC-1920,item:268967,864048.048974
11,DC-1920,item:268091,246286.281628
11,DC-1920,item:268967,863157.53877
12,DC-1920,item:268091,235040.751016
12,DC-1920,item:268967,862565.151015
13,DC-1920,item:268091,223471.914281
13,DC-1920,item:268967,862270.885709
14,DC-1920,item:268091,211579.771424
14,DC-1920,item:268967,862270.885709
15,DC-1920,item:268091,194987.077546
15,DC-1920,item:268967,858664.783668
16,DC-1920,item:268091,177779.261219
16,DC-1920,item:268967,855092.151014
17,DC-1920,item:268091,159956.322443
17,DC-1920,item:268967,851556.84489
18,DC-1920,item:268091,141518.261218
18,DC-1920,item:268967,848058.865298
19,DC-1920,item:268091,122465.077544
19,DC-1920,item:268967,844598.212236
20,DC-1920,item:268091,117196.771421
20,DC-1920,item:268967,841174.885704
21,DC-1920,item:268091,140113.342849
21,DC-1920,item:268967,837788.885703
22,DC-1920,item:268091,145705.097952
22,DC-1920,item:268967,831708.069378
23,DC-1920,item:268091,151487.751015
23,DC-1920,item:268967,825482.436726
24,DC-1920,item:268091,157461.302037
24,DC-1920,item:268967,819111.987747
25,DC-1920,item:268091,256968.612251
25,DC-1920,item:268967,812596.722443
26,DC-1920,item:268091,280841.097958
26,DC-1920,item:268967,805936.640812
27,DC-1920,item:268091,272987.342858
27,DC-1920,item:268967,799131.742854
28,DC-1920,item:268091,265324.485717
28,DC-1920,item:268967,792182.02857
29,DC-1920,item:268091,256898.036736
29,DC-1920,item:268967,789589.946937
30,DC-1920,item:268091,248598.853061
30,DC-1920,item:268967,787153.212242
31,DC-1920,item:268091,240426.934692
31,DC-1920,item:268967,784871.824486
32,DC-1920,item:268091,232382.281629
32,DC-1920,item:268967,782745.783669
33,DC-1920,item:268091,224706.857136
33,DC-1920,item:268967,780775.089791
34,DC-1920,item:268091,221907.020404
34,DC-1920,item:268967,778959.742851
35,DC-1920,item:268091,219107.183672
35,DC-1920,item:268967,777299.74285
36,DC-1920,item:268091,219076.526522
36,DC-1920,item:268967,766999.273463
37,DC-1920,item:268091,220121.265317
37,DC-1920,item:268967,756267.763259
38,DC-1920,item:268091,216467.102053
38,DC-1920,item:268967,745105.212239
39,DC-1920,item:268091,213153.551034
39,DC-1920,item:268967,733511.620403
40,DC-1920,item:268091,210180.61226
40,DC-1920,item:268967,721486.987751
41,DC-1920,item:268091,207548.285731
41,DC-1920,item:268967,709031.314282
42,DC-1920,item:268091,205256.571447
42,DC-1920,item:268967,696144.599997
43,DC-1920,item:268091,182806.897977
43,DC-1920,item:268967,694375.926527
44,DC-1920,item:268091,159331.265324
44,DC-1920,item:268967,692946.151016
45,DC-1920,item:268091,134829.673487
45,DC-1920,item:268967,691855.273465
46,DC-1920,item:268091,154300.326524
46,DC-1920,item:268967,691103.293872
47,DC-1920,item:268091,176871.428566
47,DC-1920,item:268967,690690.212239
48,DC-1920,item:268091,199442.530608
48,DC-1920,item:268967,690616.028565
49,DC-1920,item:268091,222013.632649
49,DC-1920,item:268967,690616.028565
50,DC-1920,item:268091,261363.918366
50,DC-1920,item:268967,681946.191829
51,DC-1920,item:268091,252822.444897
51,DC-1920,item:268967,672714.661216
52,DC-1920,item:268091,268955.546939
52,DC-1920,item:268967,663186.151012
53,DC-1920,item:268091,256381.302042
53,DC-1920,item:268967,653360.661215
54,DC-1920,item:268091,243899.710206
54,DC-1920,item:268967,643238.191827
55,DC-1920,item:268091,245910.771432
55,DC-1920,item:268967,632818.742847
56,DC-1920,item:268091,262414.485719
56,DC-1920,item:268967,622102.314275
57,DC-1920,item:268091,308732.163258
57,DC-1920,item:268967,620970.844888
58,DC-1920,item:268091,310394.040806
58,DC-1920,item:268967,620201.191827
59,DC-1920,item:268091,306505.55101
59,DC-1920,item:268967,619793.355092
60,DC-1920,item:268091,299379.346929
60,DC-1920,item:268967,619747.334685
61,DC-1920,item:268091,291940.367337
61,DC-1920,item:268967,619747.334685
62,DC-1920,item:268091,285138.081624
62,DC-1920,item:268967,619747.334685
63,DC-1920,item:268091,278346.938766
63,DC-1920,item:268967,619747.334685
64,DC-1920,item:268091,270811.346929
64,DC-1920,item:268967,613136.6204
65,DC-1920,item:268091,263528.44897
65,DC-1920,item:268967,604185.232645
66,DC-1920,item:268091,256498.244889
66,DC-1920,item:268967,594926.008155
67,DC-1920,item:268091,249720.734685
67,DC-1920,item:268967,585358.94693
68,DC-1920,item:268091,243195.918359
68,DC-1920,item:268967,575484.04897
69,DC-1920,item:268091,238306.163264
69,DC-1920,item:268967,565301.314276
70,DC-1920,item:268091,232286.734693
70,DC-1920,item:268967,554810.742847
71,DC-1920,item:268091,219047.836732
71,DC-1920,item:268967,551853.661215
72,DC-1920,item:268091,204851.346936
72,DC-1920,item:268967,549111.497951
73,DC-1920,item:268091,203588.081629
73,DC-1920,item:268967,546584.253055
74,DC-1920,item:268091,209967.18367
74,DC-1920,item:268967,544271.926525
75,DC-1920,item:268091,216346.285712
75,DC-1920,item:268967,542174.518363
76,DC-1920,item:268091,222725.387754
76,DC-1920,item:268967,540292.028569
77,DC-1920,item:268091,229104.489795
77,DC-1920,item:268967,538624.457142
78,DC-1920,item:268091,238298.693879
78,DC-1920,item:268967,534320.57959
79,DC-1920,item:268091,247680.571431
79,DC-1920,item:268967,530041.538772
80,DC-1920,item:268091,252558.285717
80,DC-1920,item:268967,525787.334688
81,DC-1920,item:268091,270589.14286
81,DC-1920,item:268967,521557.96734
82,DC-1920,item:268091,257058.857146
82,DC-1920,item:268967,517353.436726
83,DC-1920,item:268091,243426.285717
83,DC-1920,item:268967,513173.742846
84,DC-1920,item:268091,245676.571432
84,DC-1920,item:268967,509018.885701
85,DC-1920,item:268091,256760.020411
85,DC-1920,item:268967,503801.518355
86,DC-1920,item:268091,284315.204084
86,DC-1920,item:268967,498536.497948
87,DC-1920,item:268091,281854.46939
87,DC-1920,item:268967,493223.824479
88,DC-1920,item:268091,278310.265308
88,DC-1920,item:268967,487863.49795
89,DC-1920,item:268091,275252.653063
89,DC-1920,item:268967,482455.518359
90,DC-1920,item:268091,272681.632654
90,DC-1920,item:268967,476999.885707
91,DC-1920,item:268091,270597.204082
91,DC-1920,item:268967,471496.599994
92,DC-1920,item:268091,266298.44898
92,DC-1920,item:268967,465264.844893
93,DC-1920,item:268091,262306.224491
93,DC-1920,item:268967,458940.048975
94,DC-1920,item:268091,258620.530614
94,DC-1920,item:268967,452522.212241
95,DC-1920,item:268091,255241.367349
95,DC-1920,item:268967,446011.334691
96,DC-1920,item:268091,252168.734696
96,DC-1920,item:268967,439407.416325
97,DC-1920,item:268091,249402.632656
97,DC-1920,item:268967,432710.457142
98,DC-1920,item:268091,246943.061228
98,DC-1920,item:268967,425920.457143
99,DC-1920,item:268091,226734.612249
99,DC-1920,item:268967,425920.457143
100,DC-1920,item:268091,205629.000004
100,DC-1920,item:268967,425920.457143
101,DC-1920,item:268091,183626.224494
101,DC-1920,item:268967,425920.457143
102,DC-1920,item:268091,160726.285719
102,DC-1920,item:268967,425920.457143
103,DC-1920,item:268091,136929.183679
103,DC-1920,item:268967,425920.457143
104,DC-1920,item:268091,187100.020407
104,DC-1920,item:268967,425920.457143
105,DC-1920,item:268091,225518.632646
105,DC-1920,item:268967,425920.457143
106,DC-1920,item:268091,252367.897951
106,DC-1920,item:268967,425920.457143
107,DC-1920,item:268091,292714.734692
107,DC-1920,item:268967,425920.457143
108,DC-1920,item:268091,300477.632651
108,DC-1920,item:268967,425920.457143
109,DC-1920,item:268091,298240.612244
109,DC-1920,item:268967,425920.457143
110,DC-1920,item:268091,296603.265306
110,DC-1920,item:268967,425920.457143
111,DC-1920,item:268091,295565.591837
111,DC-1920,item:268967,425920.457143
112,DC-1920,item:268091,295127.591838
112,DC-1920,item:268967,425920.457143
113,DC-1920,item:268091,295127.591838
113,DC-1920,item:268967,425920.457143
114,DC-1920,item:268091,295127.591838
114,DC-1920,item:268967,425920.457143
115,DC-1920,item:268091,295127.591838
115,DC-1920,item:268967,425920.457143
116,DC-1920,item:268091,295127.591838
116,DC-1920,item:268967,425920.457143
117,DC-1920,item:268091,295127.591838
117,DC-1920,item:268967,425920.457143
118,DC-1920,item:268091,295127.591838
118,DC-1920,item:268967,425920.457143
119,DC-1920,item:268091,295127.591838
119,DC-1920,item:268967,425920.457143
120,DC-1920,item:268091,295127.591838
120,DC-1920,item:268967,425920.457143
121,DC-1920,item:268091,295127.591838
121,DC-1920,item:268967,425920.457143
122,DC-1920,item:268091,295127.591838
122,DC-1920,item:268967,425920.457143
123,DC-1920,item:268091,295127.591838
123,DC-1920,item:268967,425920.457143
124,DC-1920,item:268091,291616.204072
124,DC-1920,item:268967,425920.457143
125,DC-1920,item:268091,286769.020397
125,DC-1920,item:268967,425920.457143
126,DC-1920,item:268091,281893.020396
126,DC-1920,item:268967,425920.457143
127,DC-1920,item:268091,264918.408152
127,DC-1920,item:268967,425920.457143
128,DC-1920,item:268091,247110.326519
128,DC-1920,item:268967,425920.457143
129,DC-1920,item:268091,228468.775499
129,DC-1920,item:268967,425920.457143
130,DC-1920,item:268091,208993.755091
130,DC-1920,item:268967,425920.457143
131,DC-1920,item:268091,188685.265296
131,DC-1920,item:268967,425920.457143
132,DC-1920,item:268091,174547.51021
132,DC-1920,item:268967,425920.457143
133,DC-1920,item:268091,152572.081639
133,DC-1920,item:268967,425920.457143
134,DC-1920,item:268091,225346.59184
134,DC-1920,item:268967,425920.457143
135,DC-1920,item:268091,214994.346942
135,DC-1920,item:268967,425920.457143
136,DC-1920,item:268091,226685.612248
136,DC-1920,item:268967,425920.457143
137,DC-1920,item:268091,237171.183678
137,DC-1920,item:268967,425920.457143
138,DC-1920,item:268091,226810.428575
138,DC-1920,item:268967,425920.457143
139,DC-1920,item:268091,226872.836739
139,DC-1920,item:268967,425732.314288
140,DC-1920,item:268091,226935.244902
140,DC-1920,item:268967,418153.028574
141,DC-1920,item:268091,225355.306128
141,DC-1920,item:268967,418153.028574
142,DC-1920,item:268091,223665.877558
142,DC-1920,item:268967,418153.028574
143,DC-1920,item:268091,239423.979598
143,DC-1920,item:268967,418153.028574
144,DC-1920,item:268091,227075.387761
144,DC-1920,item:268967,418153.028574
145,DC-1920,item:268091,229546.571434
145,DC-1920,item:268967,418153.028574
146,DC-1920,item:268091,216973.326537
146,DC-1920,item:268967,418153.028574
147,DC-1920,item:268091,219556.83674
147,DC-1920,item:268967,418153.028574
148,DC-1920,item:268091,227496.632658
148,DC-1920,item:268967,418153.028574
149,DC-1920,item:268091,251197.387758
149,DC-1920,item:268967,418153.028574
150,DC-1920,item:268091,251056.183672
150,DC-1920,item:268967,418153.028574
151,DC-1920,item:268091,244753.22449
151,DC-1920,item:268967,418153.028574
152,DC-1920,item:268091,238874.285713
152,DC-1920,item:268967,418153.028574
153,DC-1920,item:268091,233105.77551
153,DC-1920,item:268967,418153.028574
154,DC-1920,item:268091,227604.489797
154,DC-1920,item:268967,418153.028574
155,DC-1920,item:268091,223259.714286
155,DC-1920,item:268967,418153.028574
156,DC-1920,item:268091,219241.448979
156,DC-1920,item:268967,418153.028574
157,DC-1920,item:268091,215549.693876
157,DC-1920,item:268967,418153.028574
158,DC-1920,item:268091,212184.448977
158,DC-1920,item:268967,418153.028574
159,DC-1920,item:268091,209145.714282
159,DC-1920,item:268967,418153.028574
160,DC-1920,item:268091,206433.489791
160,DC-1920,item:268967,413555.028573
161,DC-1920,item:268091,204047.775504
161,DC-1920,item:268967,405328.600002
162,DC-1920,item:268091,188683.877545
162,DC-1920,item:268967,357706.457145
163,DC-1920,item:268091,172759.510199
163,DC-1920,item:268967,307092.314288
164,DC-1920,item:268091,169535.69388
164,DC-1920,item:268967,253486.171431
165,DC-1920,item:268091,152490.387758
165,DC-1920,item:268967,196888.028574
166,DC-1920,item:268091,164820.714288
166,DC-1920,item:268967,181749.857139
167,DC-1920,item:268091,146654.469391
167,DC-1920,item:268967,182515.74286
168,DC-1920,item:268091,158984.79592
168,DC-1920,item:268967,224741.600003
169,DC-1920,item:268091,214747.653058
169,DC-1920,item:268967,332541.600003
170,DC-1920,item:268091,237970.775504
170,DC-1920,item:268967,440341.600003
171,DC-1920,item:268091,220940.795913
171,DC-1920,item:268967,548141.600003
172,DC-1920,item:268091,239001.387752
172,DC-1920,item:268967,548141.600003
173,DC-1920,item:268091,246959.999996
173,DC-1920,item:268967,548141.600003
174,DC-1920,item:268091,254918.61224
174,DC-1920,item:268967,548141.600003
175,DC-1920,item:268091,262877.224484
175,DC-1920,item:268967,548141.600003
176,DC-1920,item:268091,313168.836724
176,DC-1920,item:268967,548141.600003
177,DC-1920,item:268091,310153.795906
177,DC-1920,item:268967,548141.600003
178,DC-1920,item:268091,310019.673457
178,DC-1920,item:268967,548141.600003
179,DC-1920,item:268091,308304.306108
179,DC-1920,item:268967,548141.600003
180,DC-1920,item:268091,307238.775494
180,DC-1920,item:268967,548141.600003
181,DC-1920,item:268091,306823.081615
181,DC-1920,item:268967,548141.600003
182,DC-1920,item:268091,306823.081615
182,DC-1920,item:268967,548141.600003
183,DC-1920,item:268091,294614.77549
183,DC-1920,item:268967,548141.600003
184,DC-1920,item:268091,281933.734674
184,DC-1920,item:268967,548141.600003
185,DC-1920,item:268091,269014.10202
185,DC-1920,item:268967,548141.600003
186,DC-1920,item:268091,255855.877531
186,DC-1920,item:268967,548141.600003
187,DC-1920,item:268091,242459.061204
187,DC-1920,item:268967,548141.600003
188,DC-1920,item:268091,228823.653041
188,DC-1920,item:268967,548141.600003
189,DC-1920,item:268091,214949.653041
189,DC-1920,item:268967,548141.600003
190,DC-1920,item:268091,226471.571437
190,DC-1920,item:268967,548141.600003
191,DC-1920,item:268091,243150.469397
191,DC-1920,item:268967,548141.600003
192,DC-1920,item:268091,242684.551029
192,DC-1920,item:268967,548141.600003
193,DC-1920,item:268091,240714.795928
193,DC-1920,item:268967,548141.600003
194,DC-1920,item:268091,239220.816337
194,DC-1920,item:268967,548141.600003
195,DC-1920,item:268091,238202.612257
195,DC-1920,item:268967,548141.600003
196,DC-1920,item:268091,237660.183687
196,DC-1920,item:268967,548141.600003
197,DC-1920,item:268091,216134.04083
197,DC-1920,item:268967,548141.600003
198,DC-1920,item:268091,193653.04083
198,DC-1920,item:268967,548141.600003
199,DC-1920,item:268091,181908.142851
199,DC-1920,item:268967,548141.600003
200,DC-1920,item:268091,157517.428565
200,DC-1920,item:268967,548141.600003
201,DC-1920,item:268091,178524.285708
201,DC-1920,item:268967,548141.600003
202,DC-1920,item:268091,199531.142851
202,DC-1920,item:268967,548141.600003
203,DC-1920,item:268091,220537.999994
203,DC-1920,item:268967,548141.600003
204,DC-1920,item:268091,269152.816319
204,DC-1920,item:268967,548141.600003
205,DC-1920,item:268091,319324.673461
205,DC-1920,item:268967,543240.92654
206,DC-1920,item:268091,319324.673461
206,DC-1920,item:268967,537029.967355
207,DC-1920,item:268091,324438.122443
207,DC-1920,item:268967,531081.212253
208,DC-1920,item:268091,324438.122443
208,DC-1920,item:268967,525394.661232
209,DC-1920,item:268091,324438.122443
209,DC-1920,item:268967,519970.314292
210,DC-1920,item:268091,324438.122443
210,DC-1920,item:268967,514808.171434
211,DC-1920,item:268091,324438.122443
