day,demand,served,backlog_end,arrivals_qty,produced_qty,shipped_qty,inventory_total,holding_cost_day,transport_cost_day,purchase_cost_day,external_procured_ordered_qty,external_procured_arrived_qty,external_procured_rejected_qty,supplier_capacity_binding_qty
0,40.0,0.0,40.0,0.0,40.0,554.1983,1072120.984,42313.3862,268.8359,42.7672,1035.84,0.0,0.0,0.0
1,47.5,0.0,87.5,0.0,86.228,448.9037,1069945.7334,42249.7419,273.3424,76.1484,2413.68,0.0,16.866,0.0
2,52.5,0.0,140.0,178.064,136.4902,525.1851,1067762.978,42180.5394,317.6427,83.6232,2413.68,0.0,1525.416,0.0
3,60.0,0.0,200.0,103.28,178.7296,509.8955,1065563.2271,42111.3053,309.9833,88.0915,2413.68,0.0,3033.966,0.0
4,55.0,18.432,236.568,145.712,211.7165,533.2304,1063395.8611,42042.0486,328.5427,91.9337,2413.68,0.0,4542.516,0.0
5,50.0,39.6288,246.9392,309.6873,236.2556,1529.6994,1061393.4447,41972.7805,794.2059,104.5831,2413.68,1035.84,5015.226,0.0
6,45.0,44.2368,247.7024,254.6581,250.4232,2292.8927,1060075.9514,41930.5274,1152.1408,113.9577,2425.8051,2413.68,4037.6618,527.9925
7,40.0,23.04,264.6624,315.2053,254.6807,2154.8978,1059182.891,41897.952,1094.8522,129.0474,2512.1902,2413.68,2943.8178,1055.985
8,47.5,69.12,243.0424,139.3186,260.3254,2238.0291,1057791.9479,41858.8682,1142.7685,150.5083,2573.68,2413.68,2031.9532,1583.9775
9,52.5,0.0,295.5424,164.2791,267.9019,2221.0568,1056374.1621,41814.9163,1121.9183,151.1792,2573.68,2413.68,1302.2507,2111.97
10,60.0,67.3809,288.1615,89.5804,275.3716,2221.1343,1054821.619,41770.9535,1122.4987,151.9972,2573.68,2413.68,572.5482,2639.9625
11,55.0,0.0,343.1615,100.9977,282.0762,2230.1008,1053356.8582,41726.9893,1108.6318,144.6067,2085.5175,2425.8051,318.8832,3167.955
12,50.0,65.6525,327.509,294.0497,287.2869,2356.3787,1051978.413,41683.0248,1141.9918,142.1481,1255.815,2512.1902,321.2857,3695.9475
13,45.0,19.0058,353.5033,437.595,287.3826,2398.1717,1050955.1955,41644.6656,1128.4583,131.5954,312.2471,2573.68,259.1557,4241.44
14,40.0,44.3516,349.1517,113.6367,281.4339,2313.4771,1049859.0191,41613.6125,1075.7437,127.0371,160.0,2573.68,188.8461,4082.6703
