day,node_id,item_id,demand_qty,required_with_backlog_qty,served_qty,backlog_end_qty,available_before_service_qty
0,C-XXXXX,item:268967,20.0,20.0,0.0,20.0,0.0
0,C-XXXXX,item:268091,20.0,20.0,0.0,20.0,0.0
1,C-XXXXX,item:268967,23.75,43.75,0.0,43.75,0.0
1,C-XXXXX,item:268091,23.75,43.75,0.0,43.75,0.0
2,C-XXXXX,item:268967,26.25,70.0,0.0,70.0,0.0
2,C-XXXXX,item:268091,26.25,70.0,0.0,70.0,0.0
3,C-XXXXX,item:268967,30.0,100.0,0.0,100.0,0.0
3,C-XXXXX,item:268091,30.0,100.0,0.0,100.0,0.0
4,C-XXXXX,item:268967,27.5,127.5,0.0,127.5,0.0
4,C-XXXXX,item:268091,27.5,127.5,20.0,107.5,20.0
5,C-XXXXX,item:268967,25.0,152.5,20.0,132.5,20.0
5,C-XXXXX,item:268091,25.0,132.5,23.0,109.5,23.0
6,C-XXXXX,item:268967,22.5,155.0,23.0,132.0,23.0
6,C-XXXXX,item:268091,22.5,132.0,29.12,102.88,29.12
7,C-XXXXX,item:268967,20.0,152.0,0.0,152.0,0.0
7,C-XXXXX,item:268091,20.0,122.88,25.6,97.28,25.6
8,C-XXXXX,item:268967,23.75,175.75,53.424,122.326,53.424
8,C-XXXXX,item:268091,23.75,121.03,0.0,121.03,0.0
9,C-XXXXX,item:268967,26.25,148.576,0.0,148.576,0.0
9,C-XXXXX,item:268091,26.25,147.28,27.824,119.456,27.824
10,C-XXXXX,item:268967,30.0,178.576,54.6848,123.8912,54.6848
10,C-XXXXX,item:268091,30.0,149.456,0.0,149.456,0.0
11,C-XXXXX,item:268967,27.5,151.3912,0.0,151.3912,0.0
11,C-XXXXX,item:268091,27.5,176.956,25.5648,151.3912,25.5648
12,C-XXXXX,item:268967,25.0,176.3912,23.11296,153.27824,23.11296
12,C-XXXXX,item:268091,25.0,176.3912,23.11296,153.27824,23.11296
13,C-XXXXX,item:268967,22.5,175.77824,43.74711,132.03113,43.74711
