day,node_id,item_id,stock_end_of_day
0,SDC-1450,item:007923,2935.04
0,SDC-1450,item:021081,983400.0
0,SDC-1450,item:693055,171.88
0,SDC-1450,item:773474,44.833948
0,SDC-VD0500655A,item:002612,180.0
0,SDC-VD0505677A,item:099439,179.9594
0,SDC-VD0508918A,item:730384,177.032
0,SDC-VD0514881A,item:016332,179.990256
0,SDC-VD0518684A,item:001893,180.0
0,SDC-VD0519670A,item:001848,179.97564
0,SDC-VD0519670A,item:029313,179.999188
0,SDC-VD0520115A,item:708073,179.88898
0,SDC-VD0520132A,item:038005,179.755012
0,SDC-VD0520132A,item:049371,179.969956
0,SDC-VD0525412A,item:333362,166.0
0,SDC-VD0901566A,item:338928,160.0
0,SDC-VD0910216A,item:001893,179.84572
0,SDC-VD0910216A,item:002612,179.9594
0,SDC-VD0914320A,item:055703,179.998376
0,SDC-VD0914360C,item:338929,160.0
0,SDC-VD0914690A,item:042342,0.0
0,SDC-VD0949099A,item:021081,180.0
0,SDC-VD0951020A,item:001757,179.96752
0,SDC-VD0951020A,item:001848,180.0
0,SDC-VD0960508A,item:021081,180.0
0,SDC-VD0964290A,item:055703,180.0
0,SDC-VD0972460A,item:021081,180.0
0,SDC-VD0975221A,item:021081,180.0
0,SDC-VD0989480A,item:426331,179.78
0,SDC-VD0990780A,item:002612,180.0
0,SDC-VD0993480A,item:344135,166.0
0,SDC-VD1091642A,item:001893,180.0
0,SDC-VD1091642A,item:002612,180.0
0,SDC-VD1095770A,item:734545,179.888
0,SDC-VD1096202A,item:039668,179.999188
1,SDC-1450,item:007923,2860.336
1,SDC-1450,item:021081,983399.758323
1,SDC-1450,item:693055,162.542
1,SDC-1450,item:773474,0.0
1,SDC-VD0500655A,item:002612,180.0
1,SDC-VD0505677A,item:099439,179.91271
1,SDC-VD0508918A,item:730384,173.6188
1,SDC-VD0514881A,item:016332,179.97905
1,SDC-VD0518684A,item:001893,180.0
1,SDC-VD0519670A,item:001848,179.947626
1,SDC-VD0519670A,item:029313,179.998254
1,SDC-VD0520115A,item:708073,179.761307
1,SDC-VD0520132A,item:038005,179.473275
1,SDC-VD0520132A,item:049371,179.935405
1,SDC-VD0525412A,item:333362,149.9
1,SDC-VD0901566A,item:338928,137.0
1,SDC-VD0910216A,item:001893,179.668298
1,SDC-VD0910216A,item:002612,179.91271
1,SDC-VD0914320A,item:055703,179.996508
1,SDC-VD0914360C,item:338929,137.0
1,SDC-VD0914690A,item:042342,0.0
1,SDC-VD0949099A,item:021081,179.758323
1,SDC-VD0951020A,item:001757,179.930168
1,SDC-VD0951020A,item:001848,180.0
1,SDC-VD0960508A,item:021081,180.0
1,SDC-VD0964290A,item:055703,180.0
1,SDC-VD0972460A,item:021081,180.0
1,SDC-VD0975221A,item:021081,180.0
1,SDC-VD0989480A,item:426331,179.527
1,SDC-VD0990780A,item:002612,180.0
1,SDC-VD0993480A,item:344135,149.9
1,SDC-VD1091642A,item:001893,180.0
1,SDC-VD1091642A,item:002612,180.0
1,SDC-VD1095770A,item:734545,179.7592
1,SDC-VD1096202A,item:039668,179.998254
2,SDC-1450,item:007923,2779.136
2,SDC-1450,item:021081,983399.388148
2,SDC-1450,item:693055,152.392
2,SDC-1450,item:773474,0.0
2,SDC-VD0500655A,item:002612,180.0
2,SDC-VD0505677A,item:099439,179.86196
2,SDC-VD0508918A,item:730384,169.81976
2,SDC-VD0514881A,item:016332,179.96687
2,SDC-VD0518684A,item:001893,180.0
2,SDC-VD0519670A,item:001848,179.917176
2,SDC-VD0519670A,item:029313,179.997239
2,SDC-VD0520115A,item:708073,179.619201
2,SDC-VD0520132A,item:038005,179.15969
2,SDC-VD0520132A,item:049371,179.89785
2,SDC-VD0525412A,item:333362,131.98
2,SDC-VD0901566A,item:338928,112.0
2,SDC-VD0910216A,item:001893,179.475448
2,SDC-VD0910216A,item:002612,179.86196
2,SDC-VD0914320A,item:055703,179.994478
2,SDC-VD0914360C,item:338929,112.0
2,SDC-VD0914690A,item:042342,0.0
2,SDC-VD0949099A,item:021081,179.388148
2,SDC-VD0951020A,item:001757,179.889568
2,SDC-VD0951020A,item:001848,180.0
2,SDC-VD0960508A,item:021081,180.0
2,SDC-VD0964290A,item:055703,180.0
2,SDC-VD0972460A,item:021081,180.0
