day,campaign_id,node_id,output_item_id,event_type,reason,desired_qty,planned_qty_after_lot_rule,actual_qty,shortfall_vs_desired_qty,shortfall_vs_lot_plan_qty,binding_input_item_id,planned_qty_before,planned_qty_after,campaign_remaining_start_qty,campaign_remaining_end_qty,next_expected_receipt_day,notes
0,CMP-00000001-M-1430-item:268967-D0,M-1430,item:268967,start_campaign,none,2562.857143,107800.0,107800.0,0.0,0.0,,107800.0,0.0,107800.0,0.0,,lot_policy_enabled
0,CMP-00000002-M-1810-item:268091-D0,M-1810,item:268091,start_campaign,none,1900.0,14400.0,14400.0,0.0,0.0,,14400.0,0.0,14400.0,0.0,,lot_policy_enabled
2,CMP-00000003-M-1810-item:268091-D2,M-1810,item:268091,start_campaign,none,2252.04898,14400.0,14400.0,0.0,0.0,,14400.0,0.0,14400.0,0.0,,lot_policy_enabled
2,CMP-00000004-SDC-1450-item:773474-D2,SDC-1450,item:773474,start_campaign,none,1880661.2576,3200000.0,3200000.0,0.0,0.0,,3200000.0,0.0,3200000.0,0.0,,lot_policy_enabled
3,CMP-00000005-M-1430-item:268967-D3,M-1430,item:268967,delay_input_shortage,input_shortage,3316.751021,107800.0,0.0,3316.751021,107800.0,item:333362,107800.0,107800.0,107800.0,107800.0,58,lot_policy_enabled
3,CMP-00000006-M-1810-item:268091-D3,M-1810,item:268091,start_campaign,none,3068.483265,14400.0,14400.0,0.0,0.0,,14400.0,0.0,14400.0,0.0,,lot_policy_enabled
4,CMP-00000005-M-1430-item:268967-D3,M-1430,item:268967,delay_input_shortage,input_shortage,4402.256327,107800.0,0.0,4402.256327,107800.0,item:333362,107800.0,107800.0,107800.0,107800.0,58,lot_policy_enabled
4,CMP-00000007-M-1810-item:268091-D4,M-1810,item:268091,start_campaign,none,3597.794612,14400.0,14400.0,0.0,0.0,,14400.0,0.0,14400.0,0.0,,lot_policy_enabled
4,CMP-00000008-SDC-1450-item:773474-D4,SDC-1450,item:773474,start_campaign,none,1913429.2576,3200000.0,3200000.0,0.0,0.0,,3200000.0,0.0,3200000.0,0.0,,lot_policy_enabled
5,CMP-00000005-M-1430-item:268967-D3,M-1430,item:268967,delay_input_shortage,input_shortage,5041.51249,107800.0,0.0,5041.51249,107800.0,item:333362,107800.0,107800.0,107800.0,107800.0,58,lot_policy_enabled
5,CMP-00000009-M-1810-item:268091-D5,M-1810,item:268091,start_campaign,none,4069.681372,14400.0,14400.0,0.0,0.0,,14400.0,0.0,14400.0,0.0,,lot_policy_enabled
6,CMP-00000005-M-1430-item:268967-D3,M-1430,item:268967,delay_input_shortage,input_shortage,5591.518825,107800.0,0.0,5591.518825,107800.0,item:333362,107800.0,107800.0,107800.0,107800.0,58,lot_policy_enabled
6,CMP-00000010-M-1810-item:268091-D6,M-1810,item:268091,start_campaign,none,4530.083213,14400.0,14400.0,0.0,0.0,,14400.0,0.0,14400.0,0.0,,lot_policy_enabled
6,CMP-00000011-SDC-1450-item:773474-D6,SDC-1450,item:773474,start_campaign,none,1934400.6576,3200000.0,3200000.0,0.0,0.0,,3200000.0,0.0,3200000.0,0.0,,lot_policy_enabled
7,CMP-00000005-M-1430-item:268967-D3,M-1430,item:268967,delay_input_shortage,input_shortage,6123.675194,107800.0,0.0,6123.675194,107800.0,item:333362,107800.0,107800.0,107800.0,107800.0,58,lot_policy_enabled
7,CMP-00000012-M-1810-item:268091-D7,M-1810,item:268091,start_campaign,none,4988.188071,14400.0,14400.0,0.0,0.0,,14400.0,0.0,14400.0,0.0,,lot_policy_enabled
8,CMP-00000005-M-1430-item:268967-D3,M-1430,item:268967,delay_input_shortage,input_shortage,5991.608508,107800.0,0.0,5991.608508,107800.0,item:333362,107800.0,107800.0,107800.0,107800.0,58,lot_policy_enabled
8,CMP-00000013-M-1810-item:268091-D8,M-1810,item:268091,start_campaign,none,5338.453941,14400.0,14400.0,0.0,0.0,,14400.0,0.0,14400.0,0.0,,lot_policy_enabled
8,CMP-00000014-SDC-1450-item:773474-D8,SDC-1450,item:773474,start_campaign,none,1947822.2576,3200000.0,3200000.0,0.0,0.0,,3200000.0,0.0,3200000.0,0.0,,lot_policy_enabled
9,CMP-00000005-M-1430-item:268967-D3,M-1430,item:268967,delay_input_shortage,input_shortage,5726.697212,107800.0,0.0,5726.697212,107800.0,item:333362,107800.0,107800.0,107800.0,107800.0,58,lot_policy_enabled
9,CMP-00000015-M-1810-item:268091-D9,M-1810,item:268091,start_campaign,none,5667.152013,14400.0,14400.0,0.0,0.0,,14400.0,0.0,14400.0,0.0,,lot_policy_enabled
10,CMP-00000005-M-1430-item:268967-D3,M-1430,item:268967,delay_input_shortage,input_shortage,5435.216994,107800.0,0.0,5435.216994,107800.0,item:333362,107800.0,107800.0,107800.0,107800.0,58,lot_policy_enabled
10,CMP-00000016-M-1810-item:268091-D10,M-1810,item:268091,start_campaign,none,5991.536525,14400.0,14400.0,0.0,0.0,,14400.0,0.0,14400.0,0.0,,lot_policy_enabled
10,CMP-00000017-SDC-1450-item:773474-D10,SDC-1450,item:773474,start_campaign,none,1956412.2576,3200000.0,3200000.0,0.0,0.0,,3200000.0,0.0,3200000.0,0.0,,lot_policy_enabled
11,CMP-00000005-M-1430-item:268967-D3,M-1430,item:268967,delay_input_shortage,input_shortage,5138.422991,107800.0,0.0,5138.422991,107800.0,item:333362,107800.0,107800.0,107800.0,107800.0,58,lot_policy_enabled
