day,node_id,output_item_id,desired_qty,actual_qty,cap_qty,max_from_inputs_qty,binding_cause,binding_input_item_id,shortfall_vs_desired_qty
0,M-1430,item:268967,2734.66159,2734.66159,5200.0,77281.713153,none,,0.0
0,M-1810,item:268091,3505.571651,3505.571651,11900.0,83300.0,none,,0.0
0,SDC-1450,item:773474,28174.097862,28174.097862,2000000.0,273842505.860046,none,,0.0
1,M-1430,item:268967,2597.218032,2597.218032,5200.0,81427.399503,none,,0.0
1,M-1810,item:268091,1520.0,1520.0,11900.0,83300.0,none,,0.0
1,SDC-1450,item:773474,28111.21533,28111.21533,2000000.0,274198747.542036,none,,0.0
2,M-1430,item:268967,2569.729321,2569.729321,5200.0,82252.060846,none,,0.0
2,M-1810,item:268091,818.88567,818.88567,11900.0,83300.0,none,,0.0
2,SDC-1450,item:773474,27491.477295,27491.477295,2000000.0,288173503.650574,none,,0.0
3,M-1430,item:268967,2564.231579,2564.231579,5200.0,83282.27276,none,,0.0
3,M-1810,item:268091,514.88567,514.88567,11900.0,83300.0,none,,0.0
3,SDC-1450,item:773474,26831.236615,26831.236615,2000000.0,288146052.699094,none,,0.0
4,M-1430,item:268967,2563.13203,2563.13203,5200.0,83744.079568,none,,0.0
4,M-1810,item:268091,351.108536,351.108536,11900.0,83300.0,none,,0.0
4,SDC-1450,item:773474,26284.327711,26284.327711,2000000.0,288150008.743439,none,,0.0
5,M-1430,item:268967,2562.91212,2562.91212,5200.0,81180.947538,none,,0.0
5,M-1810,item:268091,248.131402,248.131402,11900.0,82948.891464,none,,0.0
5,SDC-1450,item:773474,25867.343778,25867.343778,2000000.0,288158005.527421,none,,0.0
6,M-1430,item:268967,2562.868138,2562.868138,5200.0,84382.538543,none,,0.0
6,M-1810,item:268091,177.909695,177.909695,11900.0,83300.0,none,,0.0
6,SDC-1450,item:773474,25559.316992,25559.316992,2000000.0,288162067.015172,none,,0.0
7,M-1430,item:268967,5517.945056,5200.0,5200.0,87509.764181,capacity,,317.945056
7,M-1810,item:268091,2690.454843,2690.454843,11900.0,83122.090305,none,,0.0
7,SDC-1450,item:773474,25334.602066,25334.602066,2000000.0,288147371.502511,none,,0.0
8,M-1430,item:268967,6108.96044,5200.0,5200.0,85339.732488,capacity,,908.96044
8,M-1810,item:268091,4620.262397,4620.262397,11900.0,83300.0,none,,0.0
